replicate	window	total_slope_nm2_per_ps	total_mean_local_alpha	total_window_loglog_alpha	x_slope_nm2_per_ps	y_slope_nm2_per_ps	z_slope_nm2_per_ps	max_abs_axis_slope_share	late_to_early_slope_ratio	late_trend_class	maximum_abs_axis_slope_share_over_standard_windows	dominant_axis_at_maximum_share	axis_anisotropy_flag
rep02	0.5-2 ns	0.001423123980300987	0.7191875436109832	0.7950450339967541	8.193461438100251e-05	0.00027128510498686335	0.0010699042609329807	0.7517997558489629	0.28331458927961595	LATE_PLATEAU	0.7517997558489629	z	TRUE
rep02	1-3 ns	0.0007462365720167579	0.40549990529703006	0.48008725685524517	-8.22208140314453e-06	0.0002690102053300027	0.0004854484480902732	0.6365028326074955	0.28331458927961595	LATE_PLATEAU	0.7517997558489629	z	TRUE
rep02	2-4 ns	8.702256271474601e-05	0.23044861426340407	0.08322015538317334	-3.598210693867653e-05	-1.140236743710986e-05	0.00013440703709024306	0.7393471565659934	0.28331458927961595	LATE_PLATEAU	0.7517997558489629	z	TRUE
rep02	3-5 ns	0.0004031917859729464	0.5070512148855185	0.4037635743869788	8.011400634151118e-05	-0.00021661832363504727	0.0005396961032672905	0.6452388295484328	0.28331458927961595	LATE_PLATEAU	0.7517997558489629	z	TRUE
rep03	0.5-2 ns	0.0051591982811155426	1.334588733042912	1.3836103011517795	0.000958627949081778	0.003520911347964291	0.0006796589840704626	0.6824531944917439	-0.26673540395314266	LATE_PLATEAU	0.7783523628593328	y	TRUE
rep03	1-3 ns	0.005047709876942687	1.082407409845687	1.2157267731600623	0.001254944031047648	0.002864266647247228	0.0009284991986477192	0.5674388419847375	-0.26673540395314266	LATE_PLATEAU	0.7783523628593328	y	TRUE
rep03	2-4 ns	0.0023146452696526354	0.38330231683193383	0.5989927293502723	0.0012302369884346015	8.903984725405096e-05	0.0009953684339632399	0.5315013080253205	-0.26673540395314266	LATE_PLATEAU	0.7783523628593328	y	TRUE
rep03	3-5 ns	-0.0013761408375877135	-0.6423707159472851	-0.41666698480897624	0.00021279305400672134	-0.00192404056060527	0.00033510666901118667	0.7783523628593328	-0.26673540395314266	LATE_PLATEAU	0.7783523628593328	y	TRUE
rep04	0.5-2 ns	0.0021568990387188774	0.8382687950024186	0.8597904539502544	0.0012796598200384844	0.0002237646578166767	0.0006534745608637161	0.5932868423913609	1.6744765142063527	LATE_UPWARD_BEND	0.9322185459875207	x	TRUE
rep04	1-3 ns	0.0019400146994383745	0.9275828731925696	0.7948405894615463	0.0016900091181004707	-0.00017087485368265265	0.0004208804350205558	0.7406589010948129	1.6744765142063527	LATE_UPWARD_BEND	0.9322185459875207	x	TRUE
rep04	2-4 ns	0.003260357004286017	1.2387716223172305	1.295324868466291	0.0025384256521461175	0.00035494533582313624	0.0003669860163167641	0.7785729135825126	1.6744765142063527	LATE_UPWARD_BEND	0.9322185459875207	x	TRUE
rep04	3-5 ns	0.0036116767838490185	1.3697551378300594	1.3946427377977628	0.0034040726260129023	-1.995269572591347e-05	0.00022755685356202956	0.9322185459875207	1.6744765142063527	LATE_UPWARD_BEND	0.9322185459875207	x	TRUE
rep05	0.5-2 ns	0.0030724975584842927	1.2755374510216366	1.265832115642225	0.0013888654371550188	0.0011154850404468642	0.0005681470808850767	0.4520314209261603	2.4983539225377704	LATE_UPWARD_BEND	0.5456100497546791	y	FALSE
rep05	1-3 ns	0.0038645294785518884	1.4009864627628617	1.3457652601142718	0.001974459912030486	0.0016415575129987202	0.00024851205352334265	0.5109185796067509	2.4983539225377704	LATE_UPWARD_BEND	0.5456100497546791	y	FALSE
rep05	2-4 ns	0.0055156546584528305	1.6195403520608236	1.5862226965163055	0.0026182746784065075	0.0025974024903986192	0.00029997748964571925	0.47469880558872574	2.4983539225377704	LATE_UPWARD_BEND	0.5456100497546791	y	FALSE
rep05	3-5 ns	0.007676186327226955	1.7537550160309507	1.8175762817668326	0.003105403576594719	0.004188204403926122	0.00038257834670911217	0.5456100497546791	2.4983539225377704	LATE_UPWARD_BEND	0.5456100497546791	y	FALSE
rep06	0.5-2 ns	0.0027599272686744734	1.05994032992746	1.0941979424073047	0.0009294181285370325	0.00015795317762469618	0.0016725559625125378	0.6060145067938517	1.7252153254310965	LATE_UPWARD_BEND	0.7550517805661671	z	TRUE
rep06	1-3 ns	0.0027618389410005084	1.1120147014084527	1.0126600834290913	0.001014909132902214	-9.397113721946927e-06	0.0017563269218223924	0.6316284153380769	1.7252153254310965	LATE_UPWARD_BEND	0.7550517805661671	z	TRUE
rep06	2-4 ns	0.0040962407515513005	1.342308041734009	1.3822733283575996	0.0012093802625943804	0.0002069325664520852	0.0026799279225047028	0.6542408234891626	1.7252153254310965	LATE_UPWARD_BEND	0.7550517805661671	z	TRUE
rep06	3-5 ns	0.004761468820992389	1.3144809173309058	1.4818407238751654	0.0010107289628791076	0.00015558434671291603	0.0035951555114012886	0.7550517805661671	1.7252153254310965	LATE_UPWARD_BEND	0.7550517805661671	z	TRUE
