replicate	window	start_ps	end_ps	width_ps	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	eligible	failure_reasons	normalized_violation_score	D_excluded_from_closest_rule
rep05	1.5-3.5 ns	1500.0	3500.0	2000.0	0.9920669183212311	1.5041650941029647	1.4581463593777026	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	5.431937272101848	TRUE
rep05	1.5-4 ns	1500.0	4000.0	2500.0	0.9863014316144446	1.559347814670825	1.5104224059281948	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	6.4008827743837315	TRUE
rep05	1.5-4.5 ns	1500.0	4500.0	3000.0	0.981859041177619	1.5971161700862875	1.5576965149757342	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	7.250410373839512	TRUE
rep05	1.5-5 ns	1500.0	5000.0	3500.0	0.977874313716046	1.6198479463866138	1.5992238447784146	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	7.979862071717063	TRUE
rep05	2-3.5 ns	2000.0	3500.0	1500.0	0.995315639982043	1.566027013972849	1.525027394894108	650	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	6.307372386048898	TRUE
rep05	2-4 ns	2000.0	4000.0	2000.0	0.9905451032719844	1.6195403520608236	1.5862226965163055	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	7.171283915520185	TRUE
rep05	2-4.5 ns	2000.0	4500.0	2500.0	0.9873806121346579	1.6528247678692998	1.636749067832955	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	7.854532540936476	TRUE
rep05	2-5 ns	2000.0	5000.0	3000.0	0.9842752893563192	1.6700613231260188	1.6787583394202952	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	8.402016989562663	TRUE
rep05	2.5-4 ns	2500.0	4000.0	1500.0	0.9943659405043533	1.6790386675577196	1.6665523142926402	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	8.102025153842547	TRUE
rep05	2.5-4.5 ns	2500.0	4500.0	2000.0	0.9924323036618488	1.7057712464033319	1.7154927559181519	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	8.651169639712018	TRUE
rep05	2.5-5 ns	2500.0	5000.0	2500.0	0.9900132533088629	1.7158672451158974	1.7541398681786198	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	9.039571271758485	TRUE
rep05	3-4.5 ns	3000.0	4500.0	1500.0	0.9962959664753671	1.7529198544401738	1.785178095042426	550	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	9.464530406988745	TRUE
rep05	3-5 ns	3000.0	5000.0	2000.0	0.9944463251641689	1.7537550160309507	1.8175762817668326	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	9.707903808080683	TRUE
rep05	3.5-5 ns	3500.0	5000.0	1500.0	0.9973938797791114	1.774121402863889	1.862205460994624	500	FALSE	FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	10.175445103626693	TRUE
rep06	0.5-2 ns	500.0	2000.0	1500.0	0.9973792512219141	1.05994032992746	1.0941979424073047	800	TRUE	PASS	0.0	TRUE
rep06	0.5-2.5 ns	500.0	2500.0	2000.0	0.9981669177836372	1.0740675285712284	1.0606444526081318	750	TRUE	PASS	0.0	TRUE
rep06	0.5-3 ns	500.0	3000.0	2500.0	0.9973955875617063	1.127777928584427	1.063197284021253	700	FALSE	FAIL_MEAN_ALPHA_HIGH	0.2777792858442685	TRUE
rep06	0.5-3.5 ns	500.0	3500.0	3000.0	0.9915028657413134	1.187556999181834	1.0870844678391	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH	1.1206340756482203	TRUE
rep06	0.5-4 ns	500.0	4000.0	3500.0	0.9810302453094885	1.2213165983948011	1.1236532257503284	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.055140104474901	TRUE
rep06	0.5-4.5 ns	500.0	4500.0	4000.0	0.9773747990433794	1.2265710923971431	1.157315102263144	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.7889885970077057	TRUE
rep06	0.5-5 ns	500.0	5000.0	4500.0	0.9809139788340177	1.2107331573072038	1.1778478813964877	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.125516304237502	TRUE
rep06	1-2.5 ns	1000.0	2500.0	1500.0	0.9993466789014944	1.0351541423852002	0.9680372424942472	750	TRUE	PASS	0.0	TRUE
rep06	1-3 ns	1000.0	3000.0	2000.0	0.9951003000726855	1.1120147014084527	1.0126600834290913	700	FALSE	FAIL_MEAN_ALPHA_HIGH	0.12014701408452622	TRUE
rep06	1-3.5 ns	1000.0	3500.0	2500.0	0.9874581709637159	1.1868992104728426	1.0737514056812156	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH	1.7407799075649537	TRUE
rep06	1-4 ns	1000.0	4000.0	3000.0	0.9774244705979878	1.226394085126896	1.141660830280181	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.7586005778626923	TRUE
rep06	1-4.5 ns	1000.0	4500.0	3500.0	0.9766112593285057	1.2316738622702534	1.1944096579031804	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	4.018824491116138	TRUE
rep06	1-5 ns	1000.0	5000.0	4000.0	0.9820838015548881	1.213218666217553	1.2210146872842977	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH;FAIL_LOGLOG_ALPHA_HIGH	3.069108890671734	TRUE
rep06	1.5-3 ns	1500.0	3000.0	1500.0	0.9930724109429203	1.1410392303249954	1.0615157735564629	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_HIGH	0.5630682245392074	TRUE
