atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A
F3	O2	F-O	3	1-4	3.0040798182	3.0040798183	-0.0000000000	2.8875271404	0.1165526778
F3	O3	F-O	3	1-4	3.8124805572	3.8124805572	0.0000000000	2.8875271404	0.9249534168
F3	C1	C-F	2	1-3	2.3345284052	2.3345284052	0.0000000001	2.3077381828	0.0267902224
F3	C2	C-F	1	1-2	1.3755310984	1.3755310984	0.0000000000	1.3301758274	0.0453552710
F3	C3	C-F	3	1-4	2.7950416256	3.0870623278	-0.2920207023	3.0279150868	-0.2328734613
F3	C4	C-F	4	>1-4	3.2397081014	3.0895997229	0.1501083785	3.0895997229	0.1501083785
F4	F5	F-F	4	>1-4	4.0629707634	4.3429817724	-0.2800110089	2.7328981612	1.3300726023
F4	F6	F-F	4	>1-4	4.2827453180	4.6133293181	-0.3305840002	2.7328981612	1.5498471568
F4	F7	F-F	5	>1-4	3.1662553656	4.5745640623	-1.4083086967	2.7328981612	0.4333572044
F4	F8	F-F	5	>1-4	4.7359796558	5.8507330734	-1.1147534175	2.7328981612	2.0030814947
F4	F9	F-F	5	>1-4	3.2921092156	4.6693649285	-1.3772557128	2.7328981612	0.5592110545
F4	O1	F-O	3	1-4	3.7931577466	3.7931577466	-0.0000000000	2.8875271404	0.9056306062
F4	O2	F-O	3	1-4	2.8875271404	2.8875271404	-0.0000000000	2.8875271404	-0.0000000000
F4	O3	F-O	3	1-4	3.0409747259	3.0409747259	-0.0000000000	2.8875271404	0.1534475855
F4	C1	C-F	2	1-3	2.3077381828	2.3077381828	0.0000000000	2.3077381828	0.0000000000
F4	C2	C-F	1	1-2	1.3712622635	1.3712622635	0.0000000000	1.3301758274	0.0410864361
F4	C3	C-F	3	1-4	3.2638496988	3.7839331891	-0.5200834902	3.0279150868	0.2359346120
F4	C4	C-F	4	>1-4	3.3798695045	4.5679133062	-1.1880438017	3.0895997229	0.2902697816
F5	F6	F-F	2	1-3	2.2024457807	2.2024457807	0.0000000000	2.1773116516	0.0251341290
F5	F7	F-F	3	1-4	2.7772877903	2.7772877903	0.0000000000	2.5763140096	0.2009737807
F5	F8	F-F	3	1-4	2.7229431051	2.7229431051	0.0000000000	2.5763140096	0.1466290956
F5	F9	F-F	3	1-4	3.5308634647	3.5308634647	0.0000000000	2.5763140096	0.9545494551
