replicate	D_PBC_1e-9_m2_s	Yeh_Hummer_1e-9_m2_s	D_infinity_1e-9_m2_s
rep01	0.3488674214028507	0.23	0.5788674214028507
rep06	0.45998787811241226	0.23	0.6899878781124122
rep09	0.35698045612316814	0.23	0.5869804561231682
rep10	0.5498373127614146	0.23	0.7798373127614145
rep15	0.43095370145706013	0.23	0.6609537014570601
rep17	0.2958526815930208	0.23	0.5258526815930208
rep19	0.447076302011815	0.23	0.677076302011815
