term_id	field	source_exact	dump_printed	absolute_difference	printed_half_unit	status
FGA3-CG302-FGA3	thetaA	107.000000	1.07000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
FGA3-CG302-FGA3	kthetaA	987.424000	9.87424000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
FGA3-CG302-FGA3	r13A	0.21550000	2.15500000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
FGA3-CG302-FGA3	kUBA	25104.00	2.51040000e+04	0.0	5e-05	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG302-FGA3	thetaA	120.930000	1.20930000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG302-FGA3	kthetaA	418.902080	4.18902080e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG302-FGA3	r13A	0.00000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG302-FGA3	kUBA	0.00	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-SG3O1-OG2P1:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-SG3O1-OG2P1:n3	cpA	0.962320	9.62320000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-SG3O1-OG2P1:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-SG3O1-OG2P1:n3	cpA	0.962320	9.62320000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG312-SG3O1:n1	phiA	180.000000	1.80000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG312-SG3O1:n1	cpA	4.853440	4.85344000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG312-FGA2:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG312-FGA2:n3	cpA	1.840960	1.84096000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n1	phiA	180.000000	1.80000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n1	cpA	3.932960	3.93296000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n2	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n2	cpA	1.589920	1.58992000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-SG3O1:n3	cpA	0.460240	4.60240000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-FGA2:n1	phiA	180.000000	1.80000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312-FGA2:n1	cpA	4.853440	4.85344000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312-CG312-FGA2:n1	phiA	180.000000	1.80000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312-CG312-FGA2:n1	cpA	4.853440	4.85344000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312-CG312-CG312:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312-CG312-CG312:n3	cpA	5.983120	5.98312000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG302-FGA3:n3	phiA	0.000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-CG302-FGA3:n3	cpA	1.840960	1.84096000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG302-FGA3:n1	phiA	180.000000	1.80000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG302-FGA3:n1	cpA	4.853440	4.85344000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
