point_id	atom_id	atom_name	atom_type	x_nm	y_nm	z_nm	source_file	source_sha256
T_CC_030	1	S1	SG3O1	4.856880991	4.885563799	5.113280568	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	2	F1	FGA2	4.936465399	5.195288610	4.865746519	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	3	F2	FGA2	5.042617461	5.190194029	5.058696414	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	4	F3	FGA2	4.808834215	5.147275227	5.122550339	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	5	F4	FGA2	4.754849226	5.046888678	4.934292410	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	6	F5	FGA2	5.041936004	4.950097559	4.801432998	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	7	F6	FGA2	5.172125741	5.123991067	4.840861972	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	8	F7	FGA3	5.150883704	4.820260136	5.011008599	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	9	F8	FGA3	5.304287206	4.925224244	4.900844278	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	10	F9	FGA3	5.236016871	5.005451337	5.092083952	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	11	O1	OG2P1	4.724708761	4.874837069	5.178475921	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	12	O2	OG2P1	4.879429399	4.797487532	4.996303925	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	13	O3	OG2P1	4.973411539	4.903613412	5.203850873	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	14	C1	CG312	4.979053505	5.111976104	4.966000219	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	15	C2	CG312	4.850250168	5.052602430	5.033029428	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	16	C3	CG312	5.093184003	5.027712865	4.900239511	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_030	17	C4	CG302	5.195065807	4.941535903	4.981302078	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_030.g96	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782
T_CC_060	1	S1	SG3O1	4.850920618	4.909776905	5.145710681	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	2	F1	FGA2	4.952969266	5.201891426	4.875508875	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
T_CC_060	3	F2	FGA2	5.058692689	5.162372777	5.064538048	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_mm_relaxed_profiles_20260926_v1/qm_start_g96/T_CC_060.g96	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d
