observable_id	kind	source_id	J_h_normalized__CC_FOURIER_1	J_h_normalized__CC_FOURIER_2	J_h_normalized__CC_FOURIER_3	J_h_normalized__CC_FOURIER_4
BOND|A|S1-O1	bond	GEO_A	7.153343159249894e-05	2.325149366979732e-05	-0.00021729289121546713	-0.00010636395877124207
BOND|A|S1-O2	bond	GEO_A	-5.745678041643585e-05	8.73699415414385e-05	-0.00011852811041914613	-0.0001630453103595762
BOND|A|S1-O3	bond	GEO_A	0.00030264682912391867	0.0006983637780732997	1.0107197087915803e-05	0.0002501132924796947
BOND|A|S1-C2	bond	GEO_A	0.0004636096214428907	-0.001363117698378627	-0.0014400495363048455	-0.00044496454137644287
BOND|A|F1-C1	bond	GEO_A	-1.5973961959934236e-05	0.0003370671829619259	-5.340647953024531e-05	-4.0684851438243226e-05
BOND|A|F2-C1	bond	GEO_A	-0.00024002914632386026	-0.000187040473582047	-0.00015919855787105983	-0.00014995685591616043
BOND|A|F3-C2	bond	GEO_A	-0.00010953230353285123	0.0003203721267347622	-9.460782155311185e-05	9.125180699741998e-05
BOND|A|F4-C2	bond	GEO_A	0.00012943841312414015	0.00022142467124540704	0.0005858307384090188	-7.610172773156806e-05
BOND|A|F5-C3	bond	GEO_A	-0.00041733919865858993	0.0002909866610184437	0.00011951724109416646	-0.00019260662855772402
BOND|A|F6-C3	bond	GEO_A	-0.0003006555434777448	0.000376009147607328	0.00017436836842632297	-0.0002952362558583799
BOND|A|F7-C4	bond	GEO_A	0.0003389799217003701	-0.0001990189348177439	0.000533661924920292	-0.00016155925549545195
BOND|A|F8-C4	bond	GEO_A	-1.6526451514154377e-05	3.716191060546424e-05	0.00021498668028970748	0.00019624854696309094
BOND|A|F9-C4	bond	GEO_A	-0.0003365302242807348	0.00031847404844865195	-0.000315027886105941	-0.0001655388716172533
BOND|A|C1-C2	bond	GEO_A	0.0001776741937041276	-0.0013306568474192532	0.0010848472037680277	1.7237229386274648e-05
BOND|A|C1-C3	bond	GEO_A	0.0007600906961893694	-0.0009912421361959844	0.0010588376920593028	0.0007183812280878814
BOND|A|C3-C4	bond	GEO_A	0.0008017840744030389	-0.0005114600464834631	-0.0005718589029174242	0.0003233187941782756
ANGLE|A|S1-C2-F3	angle	GEO_A	0.002229138176661316	-0.0019350821974367645	0.0014731607349390344	4.7074306341018935e-05
ANGLE|A|S1-C2-F4	angle	GEO_A	-0.003101827559791208	0.0018830019897665602	-0.000857495392395725	-0.0001135496304661469
ANGLE|A|S1-C2-C1	angle	GEO_A	0.0006991583968698606	0.0042468551343780156	-0.005063035958713469	-0.0007385241483682539
ANGLE|A|F1-C1-F2	angle	GEO_A	0.0009649314730343457	0.0004741632718703613	1.0538499023093025e-06	-0.00010719053047802282
ANGLE|A|F1-C1-C2	angle	GEO_A	0.0017117911580923637	-0.0021301863324643417	0.001043031059544221	-0.00027629790362823756
ANGLE|A|F1-C1-C3	angle	GEO_A	-0.0017308586791537342	-0.0012173524211838672	0.00037018313286223977	-0.00016177034669229314
ANGLE|A|F2-C1-C2	angle	GEO_A	0.0015254361387211043	0.0007468121476012948	-0.0010392208149807612	4.5630025542641226e-05
ANGLE|A|F2-C1-C3	angle	GEO_A	0.0010822320064717299	0.0011863952345184912	-0.0010317803100221695	0.0003223416860174498
ANGLE|A|F3-C2-F4	angle	GEO_A	-0.0005058089332360058	0.00024597204502649746	-8.920384759627688e-05	3.061830894972688e-05
ANGLE|A|F3-C2-C1	angle	GEO_A	0.001635507252951701	-0.0019198310165628543	0.0015062898178045418	0.0003840086363010025
ANGLE|A|F4-C2-C1	angle	GEO_A	-0.0013648431716014623	0.00030129351583259225	0.00011319741247592271	-0.00010182431588988153
ANGLE|A|F5-C3-F6	angle	GEO_A	0.00027187603834345027	-6.705823176376804e-05	-0.00022283690873425678	0.00012691334332967283
ANGLE|A|F5-C3-C1	angle	GEO_A	0.0004928823525360982	0.00032372546710587977	1.7475864817424577e-05	0.0005115982491749059
ANGLE|A|F5-C3-C4	angle	GEO_A	-0.0012820645277691106	0.0010359479476367078	-0.0015840009683714973	-0.0006354365423334296
ANGLE|A|F6-C3-C1	angle	GEO_A	-0.0003732034841997567	0.00029667984347863904	-0.00046837099326273147	-0.0003683076167100007
ANGLE|A|F6-C3-C4	angle	GEO_A	0.0007597096593969688	-0.00024369754866994527	0.0002993183028546188	-0.0001289496684955723
