observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
ANGLE|B|F7-C4-F9	CC_FOURIER_4	0.0008501302176000536	0.007157071674512849	0.0008838261660315538	7.354025165790997e-05	3.677015614001458e-05	7.354027839834832e-05	0.006306941456912796	3.3695948431500256e-05
ANGLE|B|F7-C4-C3	CC_FOURIER_4	-0.008268621376927854	0.013119125896920991	-0.0015982997283003897	6.997798108751074e-05	3.498913269831989e-05	6.99780852881869e-05	0.021387747273848845	0.006670321648627464
ANGLE|B|F8-C4-F9	CC_FOURIER_4	0.00722851763548249	0.010833599606741018	-0.006624639650354425	7.340275386739439e-05	3.670140126992121e-05	7.340303144128348e-05	0.003605081971258528	0.013853157285836915
ANGLE|B|F8-C4-C3	CC_FOURIER_4	-0.014122471670319214	-0.06056588329048651	-0.0012289955588329349	6.984048266286085e-05	3.492037751044943e-05	6.98408376964832e-05	0.046443411620167296	0.01289347611148628
ANGLE|B|F9-C4-C3	CC_FOURIER_4	0.012205461714387411	0.022081030231291265	0.01263603268029101	6.994591618382719e-05	3.497307821423641e-05	6.994627123446483e-05	0.009875568516903854	0.00043057096590359833
ANGLE|B|O1-S1-O2	CC_FOURIER_4	0.009379535865505773	0.015808591898114344	-0.006894394679690663	6.827057406928512e-05	3.413537721880799e-05	6.82706377996934e-05	0.006429056032608571	0.016273930545196436
ANGLE|B|O1-S1-O3	CC_FOURIER_4	-0.0142025935229384	0.02117432690855736	-0.0037784133720464297	6.829223697552442e-05	3.4145958559736224e-05	6.829229679428272e-05	0.03537692043149576	0.01042418015089197
ANGLE|B|O1-S1-C2	CC_FOURIER_4	-0.03444791364621835	-0.032951646378798216	0.015717695698924672	6.2061259949457e-05	3.103070531345261e-05	6.206203664674246e-05	0.0014962672674201372	0.050165609345143025
ANGLE|B|O2-S1-O3	CC_FOURIER_4	-0.0028174030937577754	0.017433296044444546	-0.010404263974095329	6.827767577454636e-05	3.41389390593659e-05	6.827781456268011e-05	0.02025069913820232	0.007586860880337554
ANGLE|B|O2-S1-C2	CC_FOURIER_4	0.016576034676774043	0.008016651745457182	-0.0043582823117560565	6.204669857927449e-05	3.102368572861704e-05	6.204755424315622e-05	0.008559382931316861	0.0209343169885301
