matrix	singular_index	variable_id	coefficient	supported	singular_value
SELECTIVE_CC_ONLY	1	CC_FOURIER_1	0.7949688421420491	True	1.3020926779286082
SELECTIVE_CC_ONLY	1	CC_FOURIER_2	-0.5671586620751842	True	1.3020926779286082
SELECTIVE_CC_ONLY	1	CC_FOURIER_3	-0.21491765647903294	True	1.3020926779286082
SELECTIVE_CC_ONLY	1	CC_FOURIER_4	-0.01288382668222609	True	1.3020926779286082
SELECTIVE_CC_ONLY	2	CC_FOURIER_1	0.13609666184238126	False	0.1391506583411711
SELECTIVE_CC_ONLY	2	CC_FOURIER_2	-0.17853246061385	False	0.1391506583411711
SELECTIVE_CC_ONLY	2	CC_FOURIER_3	0.974475315942116	False	0.1391506583411711
SELECTIVE_CC_ONLY	2	CC_FOURIER_4	0.0013106342121197623	False	0.1391506583411711
SELECTIVE_CC_ONLY	3	CC_FOURIER_1	0.044070074973388176	False	0.046116439811835046
SELECTIVE_CC_ONLY	3	CC_FOURIER_2	0.03921349142252846	False	0.046116439811835046
SELECTIVE_CC_ONLY	3	CC_FOURIER_3	-0.00031325649352043766	False	0.046116439811835046
SELECTIVE_CC_ONLY	3	CC_FOURIER_4	0.9982584998148849	False	0.046116439811835046
SELECTIVE_CC_ONLY	4	CC_FOURIER_1	0.5895422522182192	False	0.015649400062357037
SELECTIVE_CC_ONLY	4	CC_FOURIER_2	0.8030688106449578	False	0.015649400062357037
SELECTIVE_CC_ONLY	4	CC_FOURIER_3	0.0648703431734644	False	0.015649400062357037
SELECTIVE_CC_ONLY	4	CC_FOURIER_4	-0.0575522093000771	False	0.015649400062357037
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	R_OG2P1-SG3O1	0.4947517762690639	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	R_CG312-SG3O1	0.31578348097650977	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	R_CG312-CG312	0.30555723361643117	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	TH_CG312-CG312-SG3O1	-0.16485781192693605	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	CC_FOURIER_1	0.5820005914970735	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	CC_FOURIER_2	-0.41633026603901624	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	CC_FOURIER_3	-0.15076118855149417	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	1	CC_FOURIER_4	-0.013177137617131112	True	1.5283283565611803
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	R_OG2P1-SG3O1	0.15145783025324763	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	R_CG312-SG3O1	0.29813802742176276	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	R_CG312-CG312	-0.9294780871228269	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	TH_CG312-CG312-SG3O1	-0.05362037928610407	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	CC_FOURIER_1	0.11785202691982294	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	CC_FOURIER_2	-0.0818429756499097	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	CC_FOURIER_3	-0.023972316293055768	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	2	CC_FOURIER_4	0.01440617516717692	True	1.4367939002736179
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	3	R_OG2P1-SG3O1	0.8188763427180759	True	1.1431010419439736
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	3	R_CG312-SG3O1	-0.4772743093179514	True	1.1431010419439736
COMBINED_4_V2_GEOMETRY_PLUS_4_CC	3	R_CG312-CG312	-0.07120415233648891	True	1.1431010419439736
