ray_id	basin	observable_id	quantity_class	qm_value	baseline_error	tangent_response_per_unit_ray	budget	no_new_flag_abs_error_limit	heavy_backbone_scope	baseline_major_flag	predicted_error_at_geometry_endpoint	predicted_BASE_change	endpoint_error_increase	endpoint_budget_pass
individual_CC_FOURIER_1_minus	A	BOND|A|S1-O1	bonds	1.4824048021793783	-0.03077275852866168	-1.287601768664981e-05	0.005	0.03577275852866168	False	False	-0.03079851056403498	-2.575203537329962e-05	2.5752035373298454e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|S1-O1	bonds	1.480465887667455	-0.027146956557600577	1.966808704543226e-05	0.005	0.032146956557600574	False	False	-0.027107620383509713	3.933617409086452e-05	-3.933617409086418e-05	True
individual_CC_FOURIER_1_minus	A	BOND|A|S1-O2	bonds	1.4795360895746836	-0.026059641892111962	1.0342220474958452e-05	0.005	0.031059641892111963	False	False	-0.026038957451162047	2.0684440949916904e-05	-2.068444094991545e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|S1-O2	bonds	1.4806664390483129	-0.026749760721457516	-3.126624794964386e-05	0.005	0.031749760721457514	False	False	-0.026812293217356804	-6.253249589928772e-05	6.253249589928747e-05	True
individual_CC_FOURIER_1_minus	A	BOND|A|S1-O3	bonds	1.4813346426421938	-0.029070129905947928	-5.447642924230536e-05	0.005	0.034070129905947925	False	False	-0.02917908276443254	-0.00010895285848461072	0.00010895285848461222	True
individual_CC_FOURIER_1_minus	B	BOND|B|S1-O3	bonds	1.4823240170020167	-0.02932586961957817	7.253998909747992e-05	0.005	0.03432586961957817	False	False	-0.029180789641383213	0.00014507997819495985	-0.0001450799781949584	True
individual_CC_FOURIER_1_minus	A	BOND|A|S1-C2	bonds	1.8736790713925773	-0.10442979261240293	-4.817972515301161e-05	0.005	0.10942979261240293	True	True	-0.10452615206270895	-9.635945030602321e-05	9.635945030601889e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|S1-C2	bonds	1.8779260960849893	-0.10068060525356004	0.00024908836890456863	0.005	0.10568060525356004	True	True	-0.1001824285157509	0.0004981767378091373	-0.0004981767378091362	True
individual_CC_FOURIER_1_minus	A	BOND|A|F1-C1	bonds	1.3595551426661177	0.006032455246079316	4.066306856742763e-06	0.005	0.011032455246079317	False	False	0.006040587859792801	8.132613713485526e-06	8.132613713485518e-06	True
individual_CC_FOURIER_1_minus	B	BOND|B|F1-C1	bonds	1.3609327811824499	0.005805030997336091	-5.493015823614975e-05	0.005	0.010805030997336092	False	False	0.005695170680863792	-0.0001098603164722995	-0.00010986031647229957	True
individual_CC_FOURIER_1_minus	A	BOND|A|F2-C1	bonds	1.3774984810535549	-0.009230855726468201	6.110144533728708e-05	0.005	0.014230855726468202	False	False	-0.009108652835793627	0.00012220289067457415	-0.0001222028906745741	True
individual_CC_FOURIER_1_minus	B	BOND|B|F2-C1	bonds	1.361694349976532	0.003761666180506884	-5.786993670108469e-05	0.005	0.008761666180506885	False	False	0.0036459263071047148	-0.00011573987340216938	-0.00011573987340216928	True
individual_CC_FOURIER_1_minus	A	BOND|A|F3-C2	bonds	1.375531096363811	-0.0240095301631027	2.788237245134244e-05	0.005	0.0290095301631027	False	False	-0.023953765418200015	5.576474490268488e-05	-5.576474490268449e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|F3-C2	bonds	1.3737307862856514	-0.02089804406329554	3.201354173591895e-05	0.005	0.02589804406329554	False	False	-0.0208340169798237	6.40270834718379e-05	-6.40270834718383e-05	True
individual_CC_FOURIER_1_minus	A	BOND|A|F4-C2	bonds	1.3712622667249406	-0.01461903729287295	-3.294964067979791e-05	0.005	0.01961903729287295	False	False	-0.014684936574232546	-6.589928135959582e-05	6.589928135959655e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|F4-C2	bonds	1.3746418065114232	-0.02205963693614743	-2.838635896549313e-05	0.005	0.027059636936147432	False	False	-0.022116409654078416	-5.677271793098626e-05	5.677271793098557e-05	True
individual_CC_FOURIER_1_minus	A	BOND|A|F5-C3	bonds	1.3493720025730402	0.010698904702354683	0.00010623721587352151	0.005	0.015698904702354684	False	False	0.010911379134101727	0.00021247443174704302	0.00021247443174704332	True
individual_CC_FOURIER_1_minus	B	BOND|B|F5-C3	bonds	1.3601883799422818	0.004084868184351498	1.2580771160846993e-06	0.005	0.009084868184351499	False	False	0.0040873843385836675	2.5161542321693987e-06	2.5161542321697206e-06	True
individual_CC_FOURIER_1_minus	A	BOND|A|F6-C3	bonds	1.3764797496427925	-0.008515701225140004	7.653440649399848e-05	0.005	0.013515701225140005	False	False	-0.008362632412152007	0.00015306881298799696	-0.00015306881298799736	True
individual_CC_FOURIER_1_minus	B	BOND|B|F6-C3	bonds	1.3700696599680562	-0.0024912806564183487	9.17271823372042e-05	0.005	0.007491280656418349	False	False	-0.0023078262917439404	0.0001834543646744084	-0.0001834543646744083	True
individual_CC_FOURIER_1_minus	A	BOND|A|F7-C4	bonds	1.330175822145935	0.01643273077393781	-6.101638590606662e-05	0.005	0.02143273077393781	False	False	0.016310698002125677	-0.00012203277181213323	-0.00012203277181213265	True
individual_CC_FOURIER_1_minus	B	BOND|B|F7-C4	bonds	1.3403759103553696	0.008485827134460555	5.6546393456901714e-05	0.005	0.013485827134460556	False	False	0.008598919921374359	0.00011309278691380343	0.00011309278691380362	True
individual_CC_FOURIER_1_minus	A	BOND|A|F8-C4	bonds	1.3572512969131418	-0.0034453906866040995	2.974761272547788e-06	0.005	0.0084453906866041	False	False	-0.003439441164059004	5.949522545095576e-06	-5.94952254509562e-06	True
individual_CC_FOURIER_1_minus	B	BOND|B|F8-C4	bonds	1.3559843534831049	-0.0020621055111986752	9.476844742530659e-05	0.005	0.007062105511198675	False	False	-0.001872568616348062	0.00018953689485061317	-0.00018953689485061323	True
individual_CC_FOURIER_1_minus	A	BOND|A|F9-C4	bonds	1.351186931996573	0.0005750218207176694	6.0575440370532264e-05	0.005	0.0055750218207176695	False	False	0.0006961727014587339	0.00012115088074106453	0.00012115088074106449	True
individual_CC_FOURIER_1_minus	B	BOND|B|F9-C4	bonds	1.3442475330395833	0.005794006790206252	-7.184855078456209e-06	0.005	0.010794006790206253	False	False	0.005779637080049339	-1.4369710156912418e-05	-1.436971015691263e-05	True
individual_CC_FOURIER_1_minus	A	BOND|A|C1-C2	bonds	1.5463338589367104	-0.059583577632589035	-2.611266690213192e-05	0.005	0.06458357763258904	True	False	-0.0596358029663933	-5.222533380426384e-05	5.222533380426497e-05	True
individual_CC_FOURIER_1_minus	B	BOND|B|C1-C2	bonds	1.5414727177177037	-0.05181762879074103	-0.00010896206204566852	0.005	0.05681762879074103	True	False	-0.05203555291483237	-0.00021792412409133704	0.00021792412409133571	True
individual_CC_FOURIER_1_minus	A	BOND|A|C1-C3	bonds	1.5536251466595754	-0.02761777676931043	-0.0001117100618340471	0.005	0.03261777676931043	True	False	-0.027841196892978527	-0.0002234201236680942	0.00022342012366809508	True
individual_CC_FOURIER_1_minus	B	BOND|B|C1-C3	bonds	1.5582651596570543	-0.03491559976130598	0.0004210528933824662	0.005	0.03991559976130598	True	False	-0.03407349397454105	0.0008421057867649324	-0.0008421057867649337	True
individual_CC_FOURIER_1_minus	A	BOND|A|C3-C4	bonds	1.5480468386153412	-0.05273299037939738	-8.332384521393888e-05	0.005	0.05773299037939738	True	False	-0.05289963806982526	-0.00016664769042787776	0.00016664769042788047	True
individual_CC_FOURIER_1_minus	B	BOND|B|C3-C4	bonds	1.545069010019299	-0.050153542777362725	0.00028474955534849825	0.005	0.05515354277736272	True	False	-0.04958404366666573	0.0005694991106969965	-0.0005694991106969943	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|S1-C2-F3	angles	109.67733398017896	-0.7823903616519488	-0.04435928962705533	0.5	1.2823903616519488	True	False	-0.8711089409060594	-0.08871857925411065	0.08871857925411064	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|S1-C2-F3	angles	109.47537283316586	-1.442183808451432	-0.029435212089155765	0.5	1.942183808451432	True	False	-1.5010542326297436	-0.05887042417831153	0.058870424178311564	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|S1-C2-F4	angles	108.96744940646958	-1.582693562191352	0.0617255890812667	0.5	2.082693562191352	True	False	-1.4592423840288187	0.1234511781625334	-0.12345117816253337	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|S1-C2-F4	angles	109.71820108431614	-2.443790762484298	0.05038478222713976	0.5	2.943790762484298	True	False	-2.3430211980300184	0.10076956445427952	-0.10076956445427943	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|S1-C2-C1	angles	119.96985166647593	-6.6544355331031255	-0.009838030689873834	0.5	7.1544355331031255	True	True	-6.6741115944828735	-0.01967606137974767	0.019676061379747978	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|S1-C2-C1	angles	116.91210244206768	-5.110195931532331	-0.01564560043683981	0.5	5.610195931532331	True	False	-5.141487132406011	-0.03129120087367962	0.03129120087367987	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F1-C1-F2	angles	107.3508090300338	-5.555335602249812	-0.02351742103431892	0.5	6.055335602249812	False	False	-5.60237044431845	-0.04703484206863784	0.04703484206863795	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F1-C1-F2	angles	108.74266895623758	-6.040644790562524	0.07544832187239767	0.5	6.540644790562524	False	False	-5.889748146817729	0.15089664374479533	-0.1508966437447956	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F1-C1-C2	angles	109.50557562604796	0.9169602415963993	-0.06812842789008375	0.5	1.4169602415963993	True	False	0.7807033858162318	-0.1362568557801675	-0.13625685578016755	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F1-C1-C2	angles	110.38735878107522	2.269310803102499	0.07308068670326905	0.5	2.769310803102499	True	False	2.415472176509037	0.1461613734065381	0.1461613734065379	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F1-C1-C3	angles	105.39046626206549	2.3213646253494176	0.06888730564659692	0.5	2.8213646253494176	True	False	2.4591392366426112	0.13777461129319385	0.13777461129319368	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F1-C1-C3	angles	104.5121831407152	0.5245552027159022	-0.053889897520001236	0.5	1.0245552027159022	True	False	0.4167754076758997	-0.10777979504000247	-0.10777979504000246	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F2-C1-C2	angles	106.7104538689189	-0.956037483035729	-0.060711591765437195	0.5	1.456037483035729	True	False	-1.0774606665666033	-0.12142318353087439	0.12142318353087433	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F2-C1-C2	angles	109.60661113251722	1.5639524053591458	-0.03976449007215392	0.5	2.063952405359146	True	False	1.484423425214838	-0.07952898014430784	-0.07952898014430776	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F2-C1-C3	angles	105.69935642344878	1.7485644339946873	-0.04307229001896245	0.5	2.2485644339946873	True	False	1.6624198539567625	-0.0861445800379249	-0.0861445800379248	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F2-C1-C3	angles	106.15292052824611	2.9739531591271344	-0.022515251999424935	0.5	3.4739531591271344	True	False	2.9289226551282845	-0.04503050399884987	-0.04503050399884989	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F3-C2-F4	angles	107.18253818691385	-4.320229494934907	0.012327633597051772	0.5	4.820229494934907	False	False	-4.295574227740803	0.024655267194103544	-0.02465526719410338	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F3-C2-F4	angles	107.21219794496402	-3.6872045886707525	-0.0004218587715761487	0.5	4.1872045886707525	False	False	-3.6880483062139047	-0.0008437175431522973	0.000843717543152156	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F3-C2-C1	angles	105.91890064776834	7.499900209372981	-0.06509236679934806	0.5	7.999900209372981	False	False	7.369715475774285	-0.13018473359869612	-0.1301847335986963	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F3-C2-C1	angles	107.32580921305703	5.758592402520563	0.03207578659626582	0.5	6.258592402520563	False	False	5.822743975713094	0.06415157319253165	0.06415157319253151	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F4-C2-C1	angles	104.39286289405992	5.906852248244604	0.05432007237456838	0.5	6.406852248244604	False	False	6.015492392993741	0.10864014474913676	0.10864014474913652	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F4-C2-C1	angles	105.74424590376499	6.866016775183212	-0.03465310060387434	0.5	7.366016775183212	False	False	6.796710573975464	-0.06930620120774868	-0.06930620120774833	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F5-C3-F6	angles	107.79480751174968	-5.897166543490641	-0.006626194130407407	0.5	6.397166543490641	False	False	-5.910418931751456	-0.013252388260814815	0.013252388260815096	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F5-C3-F6	angles	107.77152882883	-5.210913209698276	-0.00984958075448335	0.5	5.710913209698276	False	False	-5.2306123712072425	-0.0196991615089667	0.019699161508966334	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F5-C3-C1	angles	110.4150854742138	3.0319442086500885	-0.019616469949798956	0.5	3.5319442086500885	False	False	2.9927112687504906	-0.03923293989959791	-0.03923293989959786	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F5-C3-C1	angles	110.16968887384166	2.0107778103275535	-0.020801543799325122	0.5	2.5107778103275535	False	False	1.9691747227289034	-0.041603087598650244	-0.04160308759865017	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F5-C3-C4	angles	108.29467545540544	1.710937329063583	0.025512761973805927	0.5	2.210937329063583	True	False	1.7619628530111948	0.05102552394761185	0.05102552394761184	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F5-C3-C4	angles	106.87356801362543	2.010937356349231	0.0011287701420884106	0.5	2.510937356349231	True	False	2.013194896633408	0.002257540284176821	0.0022575402841766845	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F6-C3-C1	angles	105.21783735379346	2.6931331393982703	0.014853311130527073	0.5	3.1931331393982703	False	False	2.7228397616593245	0.029706622261054146	0.02970662226105425	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F6-C3-C1	angles	106.39321950632629	2.461458339119673	0.020283734034590942	0.5	2.961458339119673	False	False	2.502025807188855	0.040567468069181885	0.04056746806918188	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F6-C3-C4	angles	105.03763419113301	1.4584341884600747	-0.015118031338970661	0.5	1.9584341884600747	True	False	1.4281981257821332	-0.030236062677941322	-0.030236062677941433	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F6-C3-C4	angles	105.92765861305558	0.8526376530387978	0.01132263139600268	0.5	1.3526376530387978	True	False	0.8752829158308032	0.02264526279200536	0.022645262792005405	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F7-C4-F8	angles	108.2237040724793	-4.968682652980235	0.0023990251738812618	0.5	5.468682652980235	False	False	-4.963884602632472	0.0047980503477625235	-0.004798050347762484	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F7-C4-F8	angles	107.7280972686723	-4.675805010702277	-0.00920124994992285	0.5	5.175805010702277	False	False	-4.694207510602123	-0.0184024998998457	0.018402499899845992	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F7-C4-F9	angles	109.2768804736617	-5.5096088398768615	-0.024048471095340335	0.5	6.0096088398768615	False	False	-5.557705782067542	-0.04809694219068067	0.04809694219068028	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F7-C4-F9	angles	109.46339202165414	-5.403088264707165	-0.00165526971705317	0.5	5.903088264707165	False	False	-5.406398804141271	-0.00331053943410634	0.0033105394341061967	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F7-C4-C3	angles	113.14632954629842	3.3334235029319785	0.031897372014678356	0.5	3.8334235029319785	False	False	3.3972182469613355	0.06379474402935671	0.06379474402935692	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F7-C4-C3	angles	111.75127911230354	4.072787513537989	-0.03647292429473043	0.5	4.572787513537989	False	False	3.999841664948528	-0.07294584858946086	-0.07294584858946074	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F8-C4-F9	angles	107.67123653178818	-4.270990659538697	0.0028442840392779315	0.5	4.770990659538697	False	False	-4.265302091460141	0.005688568078555863	-0.005688568078555889	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F8-C4-F9	angles	107.99167256109826	-4.479603946274096	-0.007230289214192635	0.5	4.979603946274096	False	False	-4.494064524702481	-0.01446057842838527	0.014460578428384885	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F8-C4-C3	angles	107.77202503419944	5.685092670391896	-0.012445623345855654	0.5	6.185092670391896	False	False	5.660201423700184	-0.02489124669171131	-0.02489124669171172	True
individual_CC_FOURIER_1_minus	B	ANGLE|B|F8-C4-C3	angles	108.36126926334	5.121998235266133	0.054631257253641444	0.5	5.621998235266133	False	False	5.2312607497734165	0.10926251450728289	0.10926251450728319	True
individual_CC_FOURIER_1_minus	A	ANGLE|A|F9-C4-C3	angles	110.56871903744958	4.33052090530758	-0.0035126128729373817	0.5	4.83052090530758	False	False	4.323495679561705	-0.007025225745874763	-0.007025225745874941	True
