variable_id	state_key	multiplier	branch_forward_source	branch_reverse_source	actual_MM_reverse_minus_forward_gap_kcal_mol	baseline_actual_MM_gap_kcal_mol	QM_reverse_minus_forward_gap_kcal_mol	residual_kcal_mol	baseline_residual_kcal_mol	residual_change_from_BASE_kcal_mol	roundoff_bound_from_original_potential_strings_kcal_mol	forward_raw_potential_string	reverse_raw_potential_string	forward_final_g96_sha256	reverse_final_g96_sha256	mapped_geometry_status	branches_averaged	review_threshold_kcal_mol	status
CC_FOURIER_2	tight_audit__CC_FOURIER_2_-1h	-1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.627199569332363e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252981314270705	-0.22529106333816173	-7.0680889087682e-06	2.390057361376673e-13	421.276087514084	421.276106874287	d326868f24cd2d11fce81830a0004a5f16027c21847cbebaad737c8034604b8e	fc4be32ba27609f9a0ac0bb52ea1748110917ee794709dd418f64b00f04f772d	PASS	False	0.1	PASS
CC_FOURIER_2	tight_audit__CC_FOURIER_2_+1h	1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.835881215758995e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252979227454241	-0.22529106333816173	-6.859407262360673e-06	2.390057361376673e-13	421.576103778036	421.576124011363	a05f2d8997080f5cf73efd09afd8e7859033239341bef0b643383b75b222d769	2d2616350e80da0869e15fe57429f598b4a2d82ea97287c150fc902cc015589d	PASS	False	0.1	PASS
CC_FOURIER_3	primary__CC_FOURIER_3_-2h	-2	T_CC_240	T_CC_240_FROM_REVERSE_QM	-1.0780473263604973e-06	1.1695288478108523e-05	0.22530275862663984	-0.2253038366739662	-0.22529106333816173	-1.2773335804461272e-05	2.390057361376673e-13	421.376113598423	421.376109087873	e852f4aeffe35f6b737fe4f0da066154f5324f9efe1da2d656aa63e45afd9aea	136a4a9a4c00cb3ffed655c9c8d99b9f0e51aee1f54b5c0e5e7d4b42c557ab31	PASS	False	0.1	PASS
CC_FOURIER_3	primary__CC_FOURIER_3_-1h	-1	T_CC_240	T_CC_240_FROM_REVERSE_QM	1.131853480708752e-06	1.1695288478108523e-05	0.22530275862663984	-0.22530162677315912	-0.22529106333816173	-1.056343499739043e-05	2.390057361376673e-13	421.401121793410	421.401126529085	091ecbe41407ab4b14bf181e90e94d6c37ac21b826fc1ee3e8af55feaed05267	61e039ffedcd7388186ddd416e78da0c1429d56ac39309e5a1a71d2a63f89842	PASS	False	0.1	PASS
CC_FOURIER_3	primary__CC_FOURIER_3_+1h	1	T_CC_240	T_CC_240_FROM_REVERSE_QM	8.795761477991605e-06	1.1695288478108523e-05	0.22530275862663984	-0.22529396286516185	-0.22529106333816173	-2.8995270001108686e-06	2.390057361376673e-13	421.451120755695	421.451157557161	d97bcb2cf0353ba4d01da485eca504c67834e998cd508ccce0fb015d9e3cdad2	9a64129530c014a0c34b6cdb7dd2d191df2da1b0adf642a2ea0533d0c7b1c924	PASS	False	0.1	PASS
CC_FOURIER_3	primary__CC_FOURIER_3_+2h	2	T_CC_240	T_CC_240_FROM_REVERSE_QM	9.685069062861849e-06	1.1695288478108523e-05	0.22530275862663984	-0.225293073557577	-0.22529106333816173	-2.0102194152604724e-06	2.390057361376673e-13	421.476135587318	421.476176109647	2d7abd8dc7e597c003efebcabfe26533ce9f07aa4b189debb618cd8c8c3aca27	47cd7a8f28feb84afec9670bc2b5717f055eca114296591389a4cacd000d60cb	PASS	False	0.1	PASS
CC_FOURIER_3	tight_audit__CC_FOURIER_3_-1h	-1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.621316927603621e-06	1.1695288478108523e-05	0.22530275862663984	-0.22529813730971224	-0.22529106333816173	-7.073971550503044e-06	2.390057361376673e-13	421.401087813338	421.401107148928	2ba4dbf27bcf7a465cd4454b9998a5bbc402d68b4ffc4227d9de952cf42fa8e4	d154375a82ebef9c5f7feabe5e5bd820187113a10fdfc6cac3c593f16e1d2dde	PASS	False	0.1	PASS
CC_FOURIER_3	tight_audit__CC_FOURIER_3_+1h	1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.8513130899356444e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252979073135499	-0.22529106333816173	-6.843975388165502e-06	2.390057361376673e-13	421.451103878245	421.451124176139	ed2a96b4ce5f0a35e713f2e3d888ca1b961142a9e4d78cf3a628393f3ce3cb60	71aeaf172395820db58aa0ef2b74cf2e3b312cc163d111f32539cf49560db320	PASS	False	0.1	PASS
CC_FOURIER_4	primary__CC_FOURIER_4_-2h	-2	T_CC_240	T_CC_240_FROM_REVERSE_QM	1.1210733993984535e-05	1.1695288478108523e-05	0.22530275862663984	-0.22529154789264585	-0.22529106333816173	-4.845544841203253e-07	2.390057361376673e-13	421.346100149110	421.346147054821	dc1085c9a09669d21977f11eb1f356f384ac3f08b9002e7b27ad520fe4383238	9b740d0636589fd9ed34ca01cd2ba8146acc6fc28097e6d15112f02361da0186	PASS	False	0.1	PASS
CC_FOURIER_4	primary__CC_FOURIER_4_-1h	-1	T_CC_240	T_CC_240_FROM_REVERSE_QM	1.0403434751869538e-05	1.1695288478108523e-05	0.22530275862663984	-0.22529235519188798	-0.22529106333816173	-1.2918537262429641e-06	2.390057361376673e-13	421.386109704434	421.386153232405	d495368119499c900e565d05d692bef1999ed73d9a6da1492df78a0989ab8358	2b1d3f7ae0e6095f66b042d671483dc9681174ecfc9de64fed0a18c5346937a5	PASS	False	0.1	PASS
CC_FOURIER_4	primary__CC_FOURIER_4_+1h	1	T_CC_240	T_CC_240_FROM_REVERSE_QM	9.01770244964726e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252937409241902	-0.22529106333816173	-2.6775860284544706e-06	2.390057361376673e-13	421.466121980118	421.466159710185	352ce5ca5141f38e4666d02fb15616525c85fca9c607ae3095fef3bab3861f46	111b8501f3cbb6e7fc76b8a577dc227fd5c0028ffcfa28a0f11013415d6d36fe	PASS	False	0.1	PASS
CC_FOURIER_4	primary__CC_FOURIER_4_+2h	2	T_CC_240	T_CC_240_FROM_REVERSE_QM	8.174789433439746e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252945838372064	-0.22529106333816173	-3.520499044673553e-06	2.390057361376673e-13	421.506106381445	421.506140584764	df6eecb54753b97520c6a67905dd775a663bed76e08cc0b8de2b2572a314f34f	f6ecf6dae11f06e6c5ce9b52a775500c9c17c946578092b71638379e54b5fb44	PASS	False	0.1	PASS
CC_FOURIER_4	tight_audit__CC_FOURIER_4_-1h	-1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.4720738520894115e-06	1.1695288478108523e-05	0.22530275862663984	-0.22529828655278775	-0.22529106333816173	-7.223214626012053e-06	2.390057361376673e-13	421.386095655608	421.386114366765	cbab064a2c582686bfe35920516e353079cd9e11a1d030ebb9aa3b68d1e0af7b	c31390f094ee273315b60483b30bf73798e4557500d750d3cd8eca16d9da32a8	PASS	False	0.1	PASS
CC_FOURIER_4	tight_audit__CC_FOURIER_4_+1h	1	T_CC_240	T_CC_240_FROM_REVERSE_QM	4.6938714245371135e-06	1.1695288478108523e-05	0.22530275862663984	-0.2252980647552153	-0.22529106333816173	-7.001417053564829e-06	2.390057361376673e-13	421.466095149440	421.466114788598	58d817280e7055dbb7e61d94090ce9f97884f50f4b4dfddc7271035734d54366	2314dd601a07524327a2b354d02308762d3101343c850960ca666cc2661a7d29	PASS	False	0.1	PASS
