observable_id	kind	source_id	J_raw__R_OG2P1-SG3O1	J_normalized__R_OG2P1-SG3O1	E_raw__R_OG2P1-SG3O1	E_normalized__R_OG2P1-SG3O1	J_raw__R_CG312-SG3O1	J_normalized__R_CG312-SG3O1	E_raw__R_CG312-SG3O1	E_normalized__R_CG312-SG3O1	J_raw__R_CG312-CG312	J_normalized__R_CG312-CG312	E_raw__R_CG312-CG312	E_normalized__R_CG312-CG312	J_raw__TH_CG312-CG312-SG3O1	J_normalized__TH_CG312-CG312-SG3O1	E_raw__TH_CG312-CG312-SG3O1	E_normalized__TH_CG312-CG312-SG3O1	J_raw__CC_FOURIER_1	J_normalized__CC_FOURIER_1	E_raw__CC_FOURIER_1	E_normalized__CC_FOURIER_1	J_raw__CC_FOURIER_2	J_normalized__CC_FOURIER_2	E_raw__CC_FOURIER_2	E_normalized__CC_FOURIER_2	J_raw__CC_FOURIER_3	J_normalized__CC_FOURIER_3	E_raw__CC_FOURIER_3	E_normalized__CC_FOURIER_3	J_raw__CC_FOURIER_4	J_normalized__CC_FOURIER_4	E_raw__CC_FOURIER_4	E_normalized__CC_FOURIER_4
BOND|A|S1-O1	bond	GEO_A	8.591266053276202	0.4772925585153445	0.00627784350422823	0.000348769083568235	-0.026949775598583692	-0.0014972097554768716	0.0061562058463944525	0.00034201143591080287	-0.024846550938151246	-0.0013803639410084024	0.005022377378502481	0.00027902096547236004	8.280629111290239e-06	0.0002300174753136177	2.106550155109458e-06	5.851528208637382e-05	5.305934630550624e-06	7.153343159249894e-05	3.750388752907209e-05	0.0005056190774697212	2.1283048190490206e-06	2.325149366979732e-05	5.748000302582782e-05	0.000627962646390166	-4.9200865979148745e-05	-0.00021729289121546713	9.376904824648256e-05	0.000414125792189021	-8.319795141153996e-05	-0.00010636395877124207	0.0002752862877190813	0.0003519382251661943
BOND|A|S1-O2	bond	GEO_A	8.577394648112913	0.47652192489516176	0.002238275136521861	0.00012434861869565895	-0.0706242144947744	-0.003923567471931911	0.010328081676123653	0.000573782315340203	-0.003996359271951633	-0.00022201995955286848	0.00994694561208098	0.0005526080895600544	-3.351573738985536e-06	-9.3099270527376e-05	1.146271927677635e-05	0.000318408868799343	-4.2618103757163794e-06	-5.745678041643585e-05	1.3407799575133797e-05	0.00018076097436093715	7.997329989350987e-06	8.73699415414385e-05	4.224923533589585e-05	0.0004615682016851804	-2.6837903637222382e-05	-0.00011852811041914613	0.00010661987110768501	0.0004708807374209182	-0.00012753413812238712	-0.0001630453103595762	0.00011971537052282561	0.0001530494503595146
BOND|A|S1-O3	bond	GEO_A	8.57291993229825	0.476273329572125	0.004182735818962089	0.00023237421216456048	-0.04100930095729538	-0.002278294497627521	0.011118989484617139	0.0006177216380342855	-0.0069643852784739835	-0.00038691029324855464	0.004481746570230365	0.0002489859205683536	-1.697480579099242e-05	-0.0004715223830831227	1.2511883823098242e-05	0.00034755232841939557	2.2448584608980582e-05	0.00030264682912391867	8.296291102307258e-05	0.001118487530210615	6.392410807798399e-05	0.0006983637780732997	0.0001357150191736627	0.0014826715050256902	2.2885371286918144e-06	1.0107197087915803e-05	8.662824061604125e-05	0.00038258881200071195	0.00019563876519357315	0.0002501132924796947	0.00042117862367917436	0.0005384534715613977
BOND|A|S1-C2	bond	GEO_A	-0.4077415293621822	-0.03923494695617427	0.004073090854075556	0.0003919333501723875	7.151357155979254	0.6881396631792966	0.006004948208051425	0.0005778264107313753	-1.1246305935219691	-0.10821762931813293	0.007226910138860171	0.0006954097523466927	-0.0007878624735512263	-0.03790605093243375	2.791897454703806e-06	0.00013432522891858946	1.985384599501039e-05	0.0004636096214428907	7.852469240434552e-05	0.001833639836263826	-7.203701365754434e-05	-0.001363117698378627	0.00015508685144695949	0.0029346251497618494	-0.00018825392188004386	-0.0014400495363048455	0.0003913004277218836	0.0029932550348451465	-0.00020094764294209533	-0.00044496454137644287	0.00019786914270303023	0.0004381477236872819
BOND|A|F1-C1	bond	GEO_A	-0.03356771065976538	-0.0013186642131348923	0.0020400810760045547	8.014195350073162e-05	-0.06862514874106385	-0.00269585044637454	0.010301812890456334	0.0004046934307420368	-0.3347270945330827	-0.013149322132845186	0.010641077883333381	0.0004180210183577349	-2.1664105104957088e-05	-0.0004255232118903683	7.984042219843974e-06	0.00015682139985920474	-1.6756390752714623e-06	-1.5973961959934236e-05	1.8566915541583645e-05	0.000176999454686577	4.363293635512022e-05	0.0003370671829619259	6.469556634347483e-05	0.0004997773269266229	-1.7101577665101786e-05	-5.340647953024531e-05	5.7316574880504886e-05	0.00017899380648055767	-4.5005529131225686e-05	-4.0684851438243226e-05	8.990621712889646e-05	8.12749268339504e-05
BOND|A|F2-C1	bond	GEO_A	-0.023222972380554374	-0.00091228451386655	0.003986881777717804	0.00015661950782296316	-0.037999899847984686	-0.0014927770481622017	0.0022413949788413806	8.805031049201215e-05	-0.3999404226987524	-0.015711143608939004	0.0004251109526068345	1.669993540805365e-05	7.511648802083215e-06	0.00014754271682902357	3.6763244656845953e-06	7.220983220909967e-05	-2.517861365847196e-05	-0.00024002914632386026	2.3789896519965665e-05	0.00022679042739507516	-2.4212161527925602e-05	-0.000187040473582047	2.201044332295073e-05	0.00017003206170284555	-5.097783125851407e-05	-0.00015919855787105983	0.00013230196229674563	0.00041316550902968267	-0.00016588207671364152	-0.00014995685591616043	0.0002861980465535004	0.0002587220999445112
BOND|A|F3-C2	bond	GEO_A	-0.06183331443720963	-0.002429041996766166	0.005617888144931787	0.00022069148906826559	-0.3850698448495393	-0.015126972140197835	0.0034184797821078	0.00013429056862652983	-0.1789840960920719	-0.0070311593372915935	0.0017348362635615552	6.815080478959491e-05	0.00014873069375664905	0.002921346725719618	6.672261086054534e-06	0.0001310555849943411	-1.148973612585813e-05	-0.00010953230353285123	8.253218319126216e-05	0.0007867839645324358	4.147178165769816e-05	0.0003203721267347622	6.1850357016553095e-06	4.777979055794742e-05	-3.0294882236159282e-05	-9.460782155311185e-05	9.040790364955653e-05	0.00028233464480212285	0.00010094262883897365	9.125180699741998e-05	9.098601292250509e-05	8.225105870695901e-05
BOND|A|F4-C2	bond	GEO_A	-0.057505676361091496	-0.002259036317313708	0.001116058275618443	4.384290971606478e-05	-0.3788399216690941	-0.014882237644244274	0.0031219635372890624	0.0001226423104352354	-0.30868769187919476	-0.012126397788700121	0.005452572640218803	0.0002141972827117196	0.00017245566246759658	0.0033873491218015532	8.375308901297725e-07	1.645066032955465e-05	1.3577850217494358e-05	0.00012943841312414015	3.862683044297619e-05	0.0003682317566084274	2.8663154042485317e-05	0.00022142467124540704	0.00017134523314632329	0.0013236527237252553	0.0001875920292748745	0.0005858307384090188	0.00025210166652000614	0.0007872877436341076	-8.418363108830818e-05	-7.610172773156806e-05	0.00016622389135633185	0.0001502658552374821
BOND|A|F5-C3	bond	GEO_A	-0.0332999215653107	-0.0013081444639895193	0.005613110699538666	0.00022050381328858647	-0.023214011063088513	-0.0009119324800694125	0.0013919990610360064	5.4682887525770395e-05	-0.13565607697496596	-0.005329073996564595	0.004326250625926133	0.00016995117526138415	1.343546452770017e-05	0.0002638974465535585	1.1770304765530779e-05	0.00023119061989830973	-4.377811031908152e-05	-0.00041733919865858993	7.523804459359935e-05	0.0007172485292414692	3.766786890624374e-05	0.0002909866610184437	7.805897074737851e-05	0.0006030104680690073	3.8271262192690614e-05	0.00011951724109416646	7.749585352027012e-05	0.0002420116316610349	-0.00021306119909469956	-0.00019260662855772402	0.0005099603636852457	0.00046100250427967055
BOND|A|F6-C3	bond	GEO_A	-0.0199666321345493	-0.0007843633877665023	0.012124573616704652	0.00047629823463152027	-0.009358284237870329	-0.0003676281247149607	0.004717760719023385	0.00018533114424649767	-0.2621135286888787	-0.010296791865368936	0.0025662627825477325	0.00010081232310256446	-1.112495989064044e-05	-0.00021851484941945023	8.78845410500588e-06	0.00017262154149434467	-3.153821062751305e-05	-0.0003006555434777448	9.469192263848234e-05	0.0009027034475757273	4.867392625507172e-05	0.000376009147607328	8.163298606470899e-05	0.0006306199616192619	5.583543834397631e-05	0.00017436836842632297	5.996326927089915e-05	0.00018725916261035222	-0.00032658995778311883	-0.0002952362558583799	0.0005942939460458936	0.0005372397874719983
