point_id	point_role	grid_target_deg	QM_energy_hartree	QM_series_relative_kcal_mol	old_MM_relaxed_kJ_mol	old_MM_series_relative_kcal_mol	clean_MM_relaxed_kJ_mol	clean_MM_status	old_MM_final_torsion_deg
T_CC_000	main_scan	0.0	-1671.3258661167	10.019615584469175	495.154549	25.956392208412996		not_recomputed	0.0012226765360247496
T_CC_030	main_scan	30.0	-1671.3325016142	5.855778037999326	459.535867	17.443322896749525		not_recomputed	30.010274128601967
T_CC_060	main_scan	60.0	-1671.3383880418	2.161988950619415	421.802269	8.42477652963672		not_recomputed	60.00449057383372
T_CC_090	main_scan	90.0	-1671.3384822247	2.102888288539102	426.887903	9.640272227533462		not_recomputed	90.0066878322224
T_CC_120	main_scan	120.0	-1671.3364446559	3.3814820145981415	415.611634	6.945179254302102		not_recomputed	119.99822881552397
T_CC_150	main_scan	150.0	-1671.3372820054	2.8560372702532297	405.915701	4.627795650095608		not_recomputed	150.00492942971454
T_CC_180	main_scan	180.0	-1671.340254797999	0.9905817499942648	386.553004	0.0	386.553005	recomputed	-179.9973141107344
T_CC_210	main_scan	210.0	-1671.3394867217	1.4725569044088693	393.248307	1.600215822179738		not_recomputed	-150.00601981704656
T_CC_240	main_scan	240.0	-1671.3345959676	4.541551437447195	421.436305	8.33730903441683		not_recomputed	-120.00248020690864
T_CC_270	main_scan	270.0	-1671.3365102911	3.34029530481828	416.036691	7.046770315487579		not_recomputed	-89.99490808032715
T_CC_300	main_scan	300.0	-1671.3418333905	0.0	397.654456	2.6533107074569777	397.654456	recomputed	-60.00144670912112
T_CC_330	main_scan	330.0	-1671.3368186216	3.1468149948959834	433.565886	11.236348470363286		not_recomputed	-30.012962993368863
T_CC_240_FROM_REVERSE_QM	branch_diagnostic	240.0	-1671.3342369248	4.766854196058886	421.430862	8.33600812619503		not_recomputed	-120.00283528140567
