geometry	class	unit	term	qm	baseline	candidate	baseline_minus_qm	candidate_minus_qm	candidate_minus_baseline	abs_error_change
GEO_A	bonds	angstrom	S1-O1(1-11)	1.4824048021793783	1.4516704549953192	1.4803066208058921	-0.030734347184059096	-0.002098181373486163	0.028636165810572933	-0.028636165810572933
GEO_A	bonds	angstrom	S1-O2(1-12)	1.4795360895746836	1.4533655037676738	1.4818482419266048	-0.026170585807009816	0.0023121523519211706	0.028482738158930987	-0.023858433455088646
GEO_A	bonds	angstrom	S1-O3(1-13)	1.4813346426421938	1.452317040183244	1.4807932650542264	-0.02901760245894991	-0.000541377587967462	0.028476224870982447	-0.028476224870982447
GEO_A	bonds	angstrom	S1-C2(1-15)	1.8736790713925773	1.76905478101653	1.8746034090707475	-0.10462429037604726	0.0009243376781702395	0.1055486280542175	-0.10369995269787702
GEO_A	bonds	angstrom	F1-C1(2-14)	1.3595551426661177	1.3655797682168735	1.3634436189199062	0.006024625550755891	0.00388847625378852	-0.002136149296967371	-0.002136149296967371
GEO_A	bonds	angstrom	F2-C1(3-14)	1.3774984810535549	1.3682824103544706	1.3662693527906993	-0.009216070699084256	-0.011229128262855603	-0.0020130575637713477	0.0020130575637713477
GEO_A	bonds	angstrom	F3-C2(4-15)	1.375531096363811	1.3514325503468607	1.3444432370376966	-0.024098546016950273	-0.031087859326114353	-0.00698931330916408	0.00698931330916408
GEO_A	bonds	angstrom	F4-C2(5-15)	1.3712622667249406	1.356630762921199	1.3489676535010295	-0.014631503803741452	-0.02229461322391102	-0.007663109420169567	0.007663109420169567
GEO_A	bonds	angstrom	F5-C3(6-16)	1.3493720025730402	1.360102285465584	1.359288066887009	0.010730282892543741	0.009916064313968853	-0.0008142185785748879	-0.0008142185785748879
GEO_A	bonds	angstrom	F6-C3(7-16)	1.3764797496427925	1.3679283568067926	1.3675833230356322	-0.008551392835999927	-0.00889642660716028	-0.0003450337711603524	0.0003450337711603524
GEO_A	bonds	angstrom	F7-C4(8-17)	1.330175822145935	1.346558158625234	1.3465323216529357	0.016382336479298987	0.016356499507000688	-2.5836972298298733e-05	-2.5836972298298733e-05
GEO_A	bonds	angstrom	F8-C4(9-17)	1.3572512969131418	1.3537516311618094	1.353674470744692	-0.003499665751332426	-0.003576826168449898	-7.716041711747224e-05	7.716041711747224e-05
GEO_A	bonds	angstrom	F9-C4(10-17)	1.351186931996573	1.3517385828953907	1.3517285854678471	0.0005516508988177016	0.0005416534712741061	-9.99742754359545e-06	-9.99742754359545e-06
GEO_A	bonds	angstrom	C1-C2(14-15)	1.5463338589367104	1.4867722265211372	1.5464134064629385	-0.05956163241557322	7.954752622807426e-05	0.05964117994180129	-0.059482084889345144
GEO_A	bonds	angstrom	C1-C3(14-16)	1.5536251466595754	1.5259335657342659	1.5211730113502562	-0.027691580925309545	-0.03245213530931923	-0.004760554384009685	0.004760554384009685
GEO_A	bonds	angstrom	C3-C4(16-17)	1.5480468386153412	1.4953639654667383	1.4939470776338886	-0.05268287314860287	-0.05409976098145264	-0.001416887832849767	0.001416887832849767
GEO_A	angles	degree	S1-C2-F3	109.67733398017896	108.89112810917901	108.54512085512701	-0.7862058709999502	-1.1322131250519476	-0.3460072540519974	0.3460072540519974
GEO_A	angles	degree	S1-C2-F4	108.96744940646958	107.36450479218851	106.96356476455698	-1.6029446142810713	-2.003884641912606	-0.4009400276315347	0.4009400276315347
GEO_A	angles	degree	S1-C2-C1	119.96985166647593	113.32210034902326	110.45199575550187	-6.6477513174526734	-9.517855910974063	-2.87010459352139	2.87010459352139
GEO_A	angles	degree	F1-C1-F2	107.3508090300338	101.79714875585125	102.0064344186243	-5.553660274182548	-5.344374611409506	0.20928566277304128	-0.20928566277304128
GEO_A	angles	degree	F1-C1-C2	109.50557562604796	110.44459319349241	110.09156602002227	0.9390175674444521	0.5859903939743134	-0.3530271734701387	-0.3530271734701387
GEO_A	angles	degree	F1-C1-C3	105.39046626206549	107.71523539912296	108.331647271349	2.324769137057473	2.941181009283511	0.6164118722260383	0.6164118722260383
GEO_A	angles	degree	F2-C1-C2	106.7104538689189	105.735775913392	105.1741078113321	-0.9746779555269001	-1.5363460575867975	-0.5616681020598975	0.5616681020598975
GEO_A	angles	degree	F2-C1-C3	105.69935642344878	107.43499202576423	108.15001821717057	1.7356356023154547	2.4506617937217925	0.7150261914063378	0.7150261914063378
GEO_A	angles	degree	F3-C2-F4	107.18253818691385	102.85491981293355	103.4899862297174	-4.3276183739803	-3.692551957196443	0.6350664167838573	-0.6350664167838573
GEO_A	angles	degree	F3-C2-C1	105.91890064776834	113.44460330430171	115.23832805543991	7.525702656533369	9.319427407671569	1.7937247511381997	1.7937247511381997
GEO_A	angles	degree	F4-C2-C1	104.39286289405992	110.29485487564956	111.64419828865336	5.901991981589646	7.25133539459344	1.349343413003794	1.349343413003794
GEO_A	angles	degree	F5-C3-F6	107.79480751174968	101.89588762757238	101.98154250374355	-5.898919884177303	-5.813265008006127	0.0856548761711764	-0.0856548761711764
GEO_A	angles	degree	F5-C3-C1	110.4150854742138	113.4489071668441	113.39906643862669	3.0338216926302977	2.9839809644128934	-0.04984072821740426	-0.04984072821740426
GEO_A	angles	degree	F5-C3-C4	108.29467545540544	110.01434419619542	110.03852117702093	1.7196687407899844	1.743845721615486	0.02417698082550146	0.02417698082550146
GEO_A	angles	degree	F6-C3-C1	105.21783735379346	107.91498122033909	107.89354381216725	2.6971438665456304	2.6757064583737957	-0.021437408171834704	-0.021437408171834704
GEO_A	angles	degree	F6-C3-C4	105.03763419113301	106.51855820174549	106.79058143134672	1.4809240106124832	1.7529472402137145	0.27202322960123126	0.27202322960123126
GEO_A	angles	degree	F7-C4-F8	108.2237040724793	103.24707602707831	103.27532366091036	-4.976628045400986	-4.948380411568934	0.028247633832052088	-0.028247633832052088
GEO_A	angles	degree	F7-C4-F9	109.2768804736617	103.76876468530429	103.81393030199747	-5.508115788357415	-5.462950171664232	0.04516561669318264	-0.04516561669318264
GEO_A	angles	degree	F7-C4-C3	113.14632954629842	116.45802716153065	116.31149392517267	3.3116976152322337	3.165164378874252	-0.14653323635798188	-0.14653323635798188
