CC_a	CS_a	CC_b	CS_b	direct_distance_360_120	mirror_distance_360_120	nominal_mirror_duplicate
90	60	210	0	0.6009252125773316	0.5270462766947299	False
90	60	330	60	0.3333333333333333	0.16666666666666666	False
90	60	0	0	0.5590169943749475	0.5590169943749475	False
210	0	330	60	0.6009252125773316	0.7071067811865476	False
210	0	0	0	0.4166666666666667	0.4166666666666667	False
330	60	0	0	0.5068968775248517	0.5068968775248517	False
