matrix_id	n_rows	n_columns	numerical_rank_machine_only	effective_supported_rank	effective_threshold	spectral_uncertainty_frobenius_delta	machine_only_tolerance	sigma_max	sigma_min	condition_number_2	condition_number_supported	rank_status
FULL_PRIMARY_118	118	10	10	9	0.13790795548285145	0.027581591096570292	3.9121838396873484e-14	1.4931279392051542	0.10149590845554517	14.711213111207716	5.259057018718901	UNRESOLVED_DIRECTION(S)
LOW_TIER_FULL_99	99	10	10	8	0.1378145913346972	0.02756291826693944	3.016768510687038e-14	1.3723553071306254	0.01146564622642828	119.69280056516575	7.489723551303586	UNRESOLVED_DIRECTION(S)
GEOMETRY_ONLY_92	92	10	10	8	0.1377060678961215	0.027541213579224302	2.5994975999280015e-14	1.2725104806941572	0.008698469072210922	146.29131518780218	7.960806706377358	UNRESOLVED_DIRECTION(S)
PES_ONLY_25	25	10	10	10	0.005216465448398414	0.0010432930896796828	6.056981582268646e-15	1.0911287998758012	0.00800534318535091	136.3000654203649	136.3000654203649	ALL_COLUMNS_SUPPORTED
A_BASIN_GEOMETRY_ONLY_46	46	10	10	8	0.060453155798830954	0.01209063115976619	9.176536106330265e-15	0.8984227084569757	0.005935311485833994	151.36909168141742	7.80136225780021	UNRESOLVED_DIRECTION(S)
B_BASIN_GEOMETRY_ONLY_46	46	10	10	7	0.12372702651148418	0.024745405302296835	9.206034327650356e-15	0.9013107123383943	0.005453970039964182	165.25773074182737	3.3801699075465605	UNRESOLVED_DIRECTION(S)
REMOVE_BONDS	86	10	10	8	0.12318295594879841	0.024636591189759683	2.5031345929753245e-14	1.310827444207194	0.0836382985233407	15.672574255457686	10.019709681107738	UNRESOLVED_DIRECTION(S)
REMOVE_ANGLES	58	10	10	9	0.06245163407970557	0.012490326815941113	1.8772149222093558e-14	1.4576249007166189	0.05649810839134649	25.799534572380047	15.438933635867004	UNRESOLVED_DIRECTION(S)
REMOVE_CC	107	10	10	9	0.13787256933810094	0.027574513867620186	3.248059036705862e-14	1.3670988287276535	0.01393498963094122	98.10547872186072	7.394957106409003	UNRESOLVED_DIRECTION(S)
REMOVE_CS	105	10	10	8	0.13784466432639497	0.027568932865278995	3.448170066211513e-14	1.4789692786000255	0.061095443678926366	24.20752169953004	5.238129590339456	UNRESOLVED_DIRECTION(S)
REMOVE_AB_ENERGY	117	10	10	9	0.13780483535487995	0.027560967070975988	3.7828166081875366e-14	1.4560932877815653	0.09467832761597034	15.379372708057335	5.234728005625799	UNRESOLVED_DIRECTION(S)
MVP_EQ_CORE	118	2	2	2	0.06487793267682865	0.01297558653536573	2.931255130603734e-14	1.118745721518206	0.3380360633138676	3.309545468465141	3.309545468465141	ALL_COLUMNS_SUPPORTED
MVP_EQ_CC_CORE	118	3	3	3	0.07391836991356328	0.014783673982712657	2.9321597001213935e-14	1.119090960411652	0.12995068162097	8.611659026735458	8.611659026735458	ALL_COLUMNS_SUPPORTED
MVP_EQ_CC_CS_CORE	118	4	4	4	0.0907292890444017	0.01814585780888034	3.05884612524244e-14	1.1674422262564015	0.12365143539638838	9.441396474807927	9.441396474807927	ALL_COLUMNS_SUPPORTED
MVP_SHARED_CC_GUARD	118	4	4	4	0.10231579897659585	0.02046315979531917	3.776736188265525e-14	1.4414328550973972	0.12511921324450656	11.52047569449278	11.52047569449278	ALL_COLUMNS_SUPPORTED
MVP_SHARED_CC_CS_GUARD	118	5	5	5	0.11504955975597378	0.023009911951194756	3.783132895825374e-14	1.4438742288078152	0.11580959607567322	12.467656202378494	12.467656202378494	ALL_COLUMNS_SUPPORTED
