observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_raw__R_OG2P1-SG3O1	J_h_tight_raw__R_CG312-SG3O1	J_h_tight_raw__R_CG312-CG312	J_h_tight_raw__R_CG302-CG312	J_h_tight_raw__TH_OG2P1-SG3O1-OG2P1	J_h_tight_raw__TH_FGA2-CG312-FGA2	J_h_tight_raw__TH_CG312-CG312-SG3O1	J_h_tight_raw__TH_FGA3-CG302-FGA3	J_h_tight_raw__LAMBDA_CS	J_h_tight_raw__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.589735707328238	-0.030522142639988203	-0.022828992801371406	0.01028704888361709	-0.0006669943190246164	1.611882352592353e-05	7.135817946424261e-06	-1.3593012181956077e-05	-0.0003396622304974173	1.8833934976036915e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.576885653124755	-0.06336840953347078	-0.0073335868371326995	-0.0057862388402885045	-0.0005636218246850566	3.654855184465067e-05	-7.723703167372697e-06	1.703754925730383e-05	1.6667354416632918e-05	1.3646216874274586e-05
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.574155587542043	-0.04624362038740948	-0.009171277747244133	-0.004003980790479034	-0.000633587168389127	2.5911096313668835e-05	-1.132891776678413e-05	1.0121245275329649e-05	-2.8380602976607605e-05	-3.7160260091262387e-06
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.40818294673672373	7.150446015648404	-1.1252245094792723	-0.04933253085959155	0.0011138800446894859	0.0009133914401188159	-0.0007888143623806521	7.892874506876257e-05	-0.000944193919807379	0.00012174125940900282
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.03203447143251825	-0.0637149843265572	-0.33009116525173354	-0.024975940088101112	-3.4881268431430357e-06	-0.0001266314125527579	-2.5910661801242796e-05	2.9619042318795863e-05	-4.8745160350360806e-05	-1.6079607947361296e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.025251856108243764	-0.039069759260712544	-0.4002864533806383	-0.07481400723130527	6.545119950840395e-05	-6.113301456489584e-05	5.7999620014514974e-06	-1.212035411846113e-05	0.00014879540528367485	-3.5324115357227015e-05
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.06397240062538945	-0.38399973323233194	-0.1804843071240292	5.4090621537383754e-05	9.117680537273909e-05	-1.9435236856879534e-05	0.00014459095428442925	-2.5859092760982527e-05	-4.8092949944678054e-05	-0.00017745796750956444
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.05709014422616843	-0.3779209958828522	-0.3057091791754951	-0.017620663526618507	9.28063775579302e-05	-1.006585104246227e-05	0.00017257248058544228	3.103977706619965e-05	0.0002156287507060206	8.949099649324666e-05
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.03388378783952817	-0.02293152859333958	-0.13710420857826477	-0.09728597948699402	3.855886888259885e-05	-0.0002516974052215737	7.4055423255892094e-06	0.00010083474164523931	-5.0866016616524234e-05	3.405771850539807e-05
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.01433205411638383	-0.00894779450555383	-0.26454986824964166	-0.13535101402784022	3.8034632286687575e-05	-0.00012907369545234193	-1.5925729732524374e-05	0.00016004124144519682	0.00010338856995195655	2.398804951564415e-05
