matrix_id	singular_index_1based	singular_value	supported	variable_id	right_singular_coefficient	absolute_coefficient	null_highlight_abs_ge_0_25
FULL_PRIMARY_118	1	1.4931279392051542	True	R_OG2P1-SG3O1	-0.20542646511999832	0.20542646511999832	False
FULL_PRIMARY_118	1	1.4931279392051542	True	R_CG312-SG3O1	-0.299595615762403	0.299595615762403	False
FULL_PRIMARY_118	1	1.4931279392051542	True	R_CG312-CG312	0.8017983644263901	0.8017983644263901	False
FULL_PRIMARY_118	1	1.4931279392051542	True	R_CG302-CG312	0.047568739058567476	0.047568739058567476	False
FULL_PRIMARY_118	1	1.4931279392051542	True	TH_OG2P1-SG3O1-OG2P1	-0.011971314912300912	0.011971314912300912	False
FULL_PRIMARY_118	1	1.4931279392051542	True	TH_FGA2-CG312-FGA2	-0.45131940842859286	0.45131940842859286	False
FULL_PRIMARY_118	1	1.4931279392051542	True	TH_CG312-CG312-SG3O1	0.08578250001979529	0.08578250001979529	False
FULL_PRIMARY_118	1	1.4931279392051542	True	TH_FGA3-CG302-FGA3	-0.05868416285383304	0.05868416285383304	False
FULL_PRIMARY_118	1	1.4931279392051542	True	LAMBDA_CS	-0.08879841921696463	0.08879841921696463	False
FULL_PRIMARY_118	1	1.4931279392051542	True	LAMBDA_CC	-0.019464942121546994	0.019464942121546994	False
FULL_PRIMARY_118	2	1.371801968169494	True	R_OG2P1-SG3O1	0.6617751186917501	0.6617751186917501	False
FULL_PRIMARY_118	2	1.371801968169494	True	R_CG312-SG3O1	0.2995160219960633	0.2995160219960633	False
FULL_PRIMARY_118	2	1.371801968169494	True	R_CG312-CG312	0.5032055069506179	0.5032055069506179	False
FULL_PRIMARY_118	2	1.371801968169494	True	R_CG302-CG312	-0.06980188623675788	0.06980188623675788	False
FULL_PRIMARY_118	2	1.371801968169494	True	TH_OG2P1-SG3O1-OG2P1	-0.12462892284753	0.12462892284753	False
FULL_PRIMARY_118	2	1.371801968169494	True	TH_FGA2-CG312-FGA2	0.3942735980679438	0.3942735980679438	False
FULL_PRIMARY_118	2	1.371801968169494	True	TH_CG312-CG312-SG3O1	-0.12989175200856168	0.12989175200856168	False
FULL_PRIMARY_118	2	1.371801968169494	True	TH_FGA3-CG302-FGA3	0.020735478597267508	0.020735478597267508	False
FULL_PRIMARY_118	2	1.371801968169494	True	LAMBDA_CS	-0.16114327204963452	0.16114327204963452	False
FULL_PRIMARY_118	2	1.371801968169494	True	LAMBDA_CC	-0.0016550883919538156	0.0016550883919538156	False
FULL_PRIMARY_118	3	1.2654832305806696	True	R_OG2P1-SG3O1	0.12448435979534202	0.12448435979534202	False
FULL_PRIMARY_118	3	1.2654832305806696	True	R_CG312-SG3O1	-0.0018412849525604787	0.0018412849525604787	False
FULL_PRIMARY_118	3	1.2654832305806696	True	R_CG312-CG312	-0.032797691947402466	0.032797691947402466	False
FULL_PRIMARY_118	3	1.2654832305806696	True	R_CG302-CG312	0.9901801369460072	0.9901801369460072	False
FULL_PRIMARY_118	3	1.2654832305806696	True	TH_OG2P1-SG3O1-OG2P1	-0.002343134696742807	0.002343134696742807	False
FULL_PRIMARY_118	3	1.2654832305806696	True	TH_FGA2-CG312-FGA2	-0.006668706563229118	0.006668706563229118	False
FULL_PRIMARY_118	3	1.2654832305806696	True	TH_CG312-CG312-SG3O1	0.0026655522391634528	0.0026655522391634528	False
FULL_PRIMARY_118	3	1.2654832305806696	True	TH_FGA3-CG302-FGA3	0.0399290397078351	0.0399290397078351	False
FULL_PRIMARY_118	3	1.2654832305806696	True	LAMBDA_CS	-0.034941849011239486	0.034941849011239486	False
FULL_PRIMARY_118	3	1.2654832305806696	True	LAMBDA_CC	-0.009774124824794056	0.009774124824794056	False
FULL_PRIMARY_118	4	1.1681249294099985	True	R_OG2P1-SG3O1	-0.2946026054664981	0.2946026054664981	False
FULL_PRIMARY_118	4	1.1681249294099985	True	R_CG312-SG3O1	-0.24054578671443907	0.24054578671443907	False
FULL_PRIMARY_118	4	1.1681249294099985	True	R_CG312-CG312	0.26122059553898036	0.26122059553898036	False
FULL_PRIMARY_118	4	1.1681249294099985	True	R_CG302-CG312	0.06777588545422379	0.06777588545422379	False
FULL_PRIMARY_118	4	1.1681249294099985	True	TH_OG2P1-SG3O1-OG2P1	0.3074811894659101	0.3074811894659101	False
FULL_PRIMARY_118	4	1.1681249294099985	True	TH_FGA2-CG312-FGA2	0.637963313471015	0.637963313471015	False
FULL_PRIMARY_118	4	1.1681249294099985	True	TH_CG312-CG312-SG3O1	-0.0824731968436983	0.0824731968436983	False
FULL_PRIMARY_118	4	1.1681249294099985	True	TH_FGA3-CG302-FGA3	0.017815463049864505	0.017815463049864505	False
FULL_PRIMARY_118	4	1.1681249294099985	True	LAMBDA_CS	0.5217071784049575	0.5217071784049575	False
FULL_PRIMARY_118	4	1.1681249294099985	True	LAMBDA_CC	-0.0409608231434568	0.0409608231434568	False
