matrix_id	singular_index_1based	singular_value	supported	variable_id	right_singular_coefficient	absolute_coefficient	null_highlight_abs_ge_0_25
MVP_EQ_CORE	1	1.118745721518206	True	R_CG312-SG3O1	0.9885390527203424	0.9885390527203424	False
MVP_EQ_CORE	1	1.118745721518206	True	TH_CG312-CG312-SG3O1	-0.15096536439451355	0.15096536439451355	False
MVP_EQ_CORE	2	0.3380360633138676	True	R_CG312-SG3O1	0.15096536439451355	0.15096536439451355	False
MVP_EQ_CORE	2	0.3380360633138676	True	TH_CG312-CG312-SG3O1	0.9885390527203424	0.9885390527203424	False
MVP_EQ_CC_CORE	1	1.119090960411652	True	R_CG312-SG3O1	0.9881838198994185	0.9881838198994185	False
MVP_EQ_CC_CORE	1	1.119090960411652	True	TH_CG312-CG312-SG3O1	-0.15121620276837022	0.15121620276837022	False
MVP_EQ_CC_CORE	1	1.119090960411652	True	LAMBDA_CC	0.02502794656596565	0.02502794656596565	False
MVP_EQ_CC_CORE	2	0.34087895230567594	True	R_CG312-SG3O1	-0.15323543746267007	0.15323543746267007	False
MVP_EQ_CC_CORE	2	0.34087895230567594	True	TH_CG312-CG312-SG3O1	-0.9783135825038911	0.9783135825038911	False
MVP_EQ_CC_CORE	2	0.34087895230567594	True	LAMBDA_CC	0.1393608086731216	0.1393608086731216	False
MVP_EQ_CC_CORE	3	0.12995068162097	True	R_CG312-SG3O1	0.0034115677653870076	0.0034115677653870076	False
MVP_EQ_CC_CORE	3	0.12995068162097	True	TH_CG312-CG312-SG3O1	-0.14154926459970535	0.14154926459970535	False
MVP_EQ_CC_CORE	3	0.12995068162097	True	LAMBDA_CC	-0.989925334000835	0.989925334000835	False
MVP_EQ_CC_CS_CORE	1	1.1674422262564015	True	R_CG312-SG3O1	0.9159563114362719	0.9159563114362719	False
MVP_EQ_CC_CS_CORE	1	1.1674422262564015	True	TH_CG312-CG312-SG3O1	-0.12201509742761629	0.12201509742761629	False
MVP_EQ_CC_CS_CORE	1	1.1674422262564015	True	LAMBDA_CC	0.029502822310164236	0.029502822310164236	False
MVP_EQ_CC_CS_CORE	1	1.1674422262564015	True	LAMBDA_CS	-0.38113768511592255	0.38113768511592255	False
MVP_EQ_CC_CS_CORE	2	0.7785532366380091	True	R_CG312-SG3O1	-0.36054449533999056	0.36054449533999056	False
MVP_EQ_CC_CS_CORE	2	0.7785532366380091	True	TH_CG312-CG312-SG3O1	0.16557702084331016	0.16557702084331016	False
MVP_EQ_CC_CS_CORE	2	0.7785532366380091	True	LAMBDA_CC	0.024023681870175218	0.024023681870175218	False
MVP_EQ_CC_CS_CORE	2	0.7785532366380091	True	LAMBDA_CS	-0.917613633158361	0.917613633158361	False
MVP_EQ_CC_CS_CORE	3	0.33259557743885165	True	R_CG312-SG3O1	0.17575787802649398	0.17575787802649398	False
MVP_EQ_CC_CS_CORE	3	0.33259557743885165	True	TH_CG312-CG312-SG3O1	0.9642564709666921	0.9642564709666921	False
MVP_EQ_CC_CS_CORE	3	0.33259557743885165	True	LAMBDA_CC	-0.17095755125930678	0.17095755125930678	False
MVP_EQ_CC_CS_CORE	3	0.33259557743885165	True	LAMBDA_CS	0.10045965447833782	0.10045965447833782	False
MVP_EQ_CC_CS_CORE	4	0.12365143539638838	True	R_CG312-SG3O1	-0.011868897662193857	0.011868897662193857	False
MVP_EQ_CC_CS_CORE	4	0.12365143539638838	True	TH_CG312-CG312-SG3O1	-0.1670509633831689	0.1670509633831689	False
MVP_EQ_CC_CS_CORE	4	0.12365143539638838	True	LAMBDA_CC	-0.9845435296890419	0.9845435296890419	False
MVP_EQ_CC_CS_CORE	4	0.12365143539638838	True	LAMBDA_CS	-0.051255663574697866	0.051255663574697866	False
MVP_SHARED_CC_GUARD	1	1.4414328550973972	True	R_CG312-SG3O1	0.20103676359594913	0.20103676359594913	False
MVP_SHARED_CC_GUARD	1	1.4414328550973972	True	R_CG312-CG312	-0.9791830753643844	0.9791830753643844	False
MVP_SHARED_CC_GUARD	1	1.4414328550973972	True	TH_CG312-CG312-SG3O1	-0.01050301172922219	0.01050301172922219	False
MVP_SHARED_CC_GUARD	1	1.4414328550973972	True	LAMBDA_CC	0.025969431018580832	0.025969431018580832	False
MVP_SHARED_CC_GUARD	2	1.10348255982531	True	R_CG312-SG3O1	-0.967109711874876	0.967109711874876	False
MVP_SHARED_CC_GUARD	2	1.10348255982531	True	R_CG312-CG312	-0.2006799308122437	0.2006799308122437	False
MVP_SHARED_CC_GUARD	2	1.10348255982531	True	TH_CG312-CG312-SG3O1	0.15534195426565456	0.15534195426565456	False
MVP_SHARED_CC_GUARD	2	1.10348255982531	True	LAMBDA_CC	-0.01718277659210265	0.01718277659210265	False
MVP_SHARED_CC_GUARD	3	0.34000341355677194	True	R_CG312-SG3O1	-0.15582518975498658	0.15582518975498658	False
MVP_SHARED_CC_GUARD	3	0.34000341355677194	True	R_CG312-CG312	-0.017593251175430757	0.017593251175430757	False
MVP_SHARED_CC_GUARD	3	0.34000341355677194	True	TH_CG312-CG312-SG3O1	-0.9764747710368633	0.9764747710368633	False
MVP_SHARED_CC_GUARD	3	0.34000341355677194	True	LAMBDA_CC	0.148006787950438	0.148006787950438	False
MVP_SHARED_CC_GUARD	4	0.12511921324450656	True	R_CG312-SG3O1	0.0012389987823444423	0.0012389987823444423	False
MVP_SHARED_CC_GUARD	4	0.12511921324450656	True	R_CG312-CG312	0.024870621267225564	0.024870621267225564	False
MVP_SHARED_CC_GUARD	4	0.12511921324450656	True	TH_CG312-CG312-SG3O1	0.14918306042593588	0.14918306042593588	False
MVP_SHARED_CC_GUARD	4	0.12511921324450656	True	LAMBDA_CC	0.9884959947120429	0.9884959947120429	False
MVP_SHARED_CC_CS_GUARD	1	1.4438742288078152	True	R_CG312-SG3O1	0.1758632566756583	0.1758632566756583	False
MVP_SHARED_CC_CS_GUARD	1	1.4438742288078152	True	R_CG312-CG312	-0.981273160793951	0.981273160793951	False
