variable_id	C_supported_subspace_diagonal	sqrt_C_if_resolved	null_projection_norm	coordinate_variance_status
R_OG2P1-SG3O1	0.7274215504241979		0.004620848264497678	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
R_CG312-SG3O1	1.2002947327020212		0.013449485630511055	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
R_CG312-CG312	0.526769865261324		0.03187557457364874	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
R_CG302-CG312	0.6379001405289924		0.01260007417700147	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
TH_OG2P1-SG3O1-OG2P1	5.748792053241792		0.024821951702541263	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
TH_FGA2-CG312-FGA2	1.1258322411400543		0.053556255754365345	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
TH_CG312-CG312-SG3O1	11.046231621096393		0.25496668761536767	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
TH_FGA3-CG302-FGA3	5.11379255412734		0.045974981416027	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
LAMBDA_CS	3.670182915496763		0.028570542772814997	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
LAMBDA_CC	0.8237654679269628		0.9629125383611354	UNRESOLVED_NULL_COMPONENT_NO_FINITE_VARIANCE
