state_key	source_id	observable_id	kind	block	family	unit	raw_value	raw_input_numeric_strings	serialized_input_sha256	source_geometry_sha256	row_weight	observable_scale
primary__BASE	GEO_A	BOND|A|C1-C2	bond	bond	CG312-CG312	angstrom	1.4867502813041213	C1:5.001652755,5.103754337,4.997268083;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.20412414523193154	0.03
primary__BASE	GEO_A	BOND|A|C1-C3	bond	bond	CG312-CG312	angstrom	1.526007369890265	C1:5.001652755,5.103754337,4.997268083;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.20412414523193154	0.03
primary__BASE	GEO_A	BOND|A|C3-C4	bond	bond	CG302-CG312	angstrom	1.4953138482359438	C3:5.113831672,5.023631296,4.931822122;C4:5.192074191,4.934523524,5.022913001	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.2886751345948129	0.03
primary__BASE	GEO_A	ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	degree	108.89494361852701	S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369;F3:4.932902299,4.968268912,5.179641126	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.15075567228888181	3.0
primary__BASE	GEO_A	ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	degree	107.38475584427823	S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369;F4:4.808362757,5.130693615,5.125398677	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.15075567228888181	3.0
primary__BASE	GEO_A	ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	degree	113.31541613337281	S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.21320071635561041	3.0
primary__BASE	GEO_A	ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	degree	101.79547342778399	F1:4.951565638,5.189398808,4.903435252;C1:5.001652755,5.103754337,4.997268083;F2:5.059472725,5.190289736,5.086093973	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.12309149097933272	3.0
primary__BASE	GEO_A	ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	degree	110.42253586764436	F1:4.951565638,5.189398808,4.903435252;C1:5.001652755,5.103754337,4.997268083;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	degree	107.71183088741491	F1:4.951565638,5.189398808,4.903435252;C1:5.001652755,5.103754337,4.997268083;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
primary__BASE	GEO_A	ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	degree	105.75441638588318	F2:5.059472725,5.190289736,5.086093973;C1:5.001652755,5.103754337,4.997268083;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.07537783614444091	3.0
