state_key	state_stage	state_id	variable_id	multiplier	source_id	axis	target_deg	accepted_qm_center_deg	final_mm_torsion_deg	wrapped_drift_vs_accepted_qm_center_deg	absolute_drift_deg	gate_limit_deg	gate_pass	start_g96_sha256	final_g96_sha256
primary__BASE	primary	BASE		0	T_CS_040	T_CS	40.0	40.00013511844969	40.00695905040605	0.006823931956375873	0.006823931956375873	0.02	True	1a3dc833568c912b0d2cb86bfde6f64600b04206593d34bfbb044abbbf528520	1977ba0db3c7679151d49be4052dfe54aef30128dd1d331e857373664f35940d
primary__BASE	primary	BASE		0	T_CS_050	T_CS	50.0	50.000069706040776	50.00574720100174	0.0056774949609632586	0.0056774949609632586	0.02	True	d5ffde1699a4340c997fb87781ff0319b604b8e83883345a0da527c51bce31d9	4c892e1b70d314d14a70c48d7b3ff598790b02b56aed37c35e015ef6dd83a016
primary__BASE	primary	BASE		0	T_CS_060	T_CS	60.0	60.00001911469256	60.00332069338076	0.003301578688194695	0.003301578688194695	0.02	True	80f6abaaca25fcd7bd9b4a96576a6529dc2aab9c92bb4dc8cb8d94382f35e1bd	7ba7ba8e0687e3b368aba5a907f7941e2ef5a617d136698ed74cdcd05ad62f5b
primary__BASE	primary	BASE		0	T_CS_070	T_CS	70.0	69.99996549339919	70.00011826861424	0.00015277521504231117	0.00015277521504231117	0.02	True	861b37106b6bffb8af5aa0780a88e99efc6bb88ef7f40055d7a4c38fada5ead3	98778e709d38e5b325aa2e2b30e54be44143f24b2f0bc03a7e29ba83de4cc7d8
primary__BASE	primary	BASE		0	T_CS_080	T_CS	80.0	79.99992991278366	79.99679970866744	-0.003130204116217783	0.003130204116217783	0.02	True	185564ab2bddfe1f6bee80c92bcc4d84c3c5217d92438a78fed413f0c2f0ee48	cf7e56bba1e438da9357b5ef9571e5ef89d5a70f3f5fb6974d855cdc9f5b83fe
primary__BASE	primary	BASE		0	T_CS_090	T_CS	90.0	89.99991027498892	89.99429079978957	-0.005619475199353019	0.005619475199353019	0.02	True	95090c3545e38e3050c6dfd9ee40f08d6e347c417cfbc010bffb72eed38858f5	a7d65bbc794559b7a33feeaeb45fd78100ec8194b0b8065f0d3077ea93a0eeb8
primary__BASE	primary	BASE		0	T_CS_100	T_CS	100.0	99.99973782178598	99.99309291737349	-0.006644904412496544	0.006644904412496544	0.02	True	c5e6d243501db4ba3bbd09f5ae97a9cc954f7652d24c606c3bb8196a5b512755	749712b0aa16f2fc01a94402fd6f570547751c02e8abf85c90e2627aa76738f6
primary__BASE	primary	BASE		0	T_CS_110	T_CS	110.0	109.99982259760765	109.99396751647143	-0.005855081136218132	0.005855081136218132	0.02	True	fd3404ec36fe83815887e7a1e639f61c92bd7d0c7d43580b0b9c0fed1892da18	c6510bb73ef49b9246dc5a88321771f58ceba14ced4d75ebfda1e4f21d5a3613
primary__BASE	primary	BASE		0	T_CS_120	T_CS	120.0	120.0000256226668	119.99668390452294	-0.0033417181438721855	0.0033417181438721855	0.02	True	cd3a576945e09ba26d11c6c20df75fa39584268550f612d9a1dc957add5b6753	b99560b87fab3fae846acf87e4653f86dcaca51c73d0b56a862aac161f041ef3
primary__BASE	primary	BASE		0	T_CC_240_FROM_REVERSE_QM	T_CC	240.0	-120.00002885442426	-120.0027768443416	-0.0027479899173386	0.0027479899173386	0.02	True	8af7af63d19b53cffc32f9eda8be8acabcdedd5642a150991c618d46afeeece1	4b7e85138be64cb63f3092f9b3486d54b775da357c2593137ba6b7926a309992
