section	types	line	source_path	source_sha256	raw_row
dihedraltypes	FGA2-CG312-CG312-SG3O1	32	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   SG3O1    CG312    CG312     FGA2     9   180.000000     4.853440     1
dihedraltypes	FGA2-CG312-CG312-FGA2	32988	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	    FGA2    CG312    CG312     FGA2     9     0.000000     1.840960     3 ; aa, 23008H
dihedraltypes	CG312-CG312-CG312-SG3O1	27	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    CG312    CG312    SG3O1     9   180.000000     3.932960     1
dihedraltypes	CG312-CG312-CG312-SG3O1	28	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    CG312    CG312    SG3O1     9     0.000000     1.589920     2
dihedraltypes	CG312-CG312-CG312-SG3O1	29	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    CG312    CG312    SG3O1     9     0.000000     0.460240     3
dihedraltypes	CG312-CG312-CG312-FGA2	30	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    CG312    CG312     FGA2     9   180.000000     4.853440     1
dihedraltypes	CG302-CG312-CG312-FGA2	25	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG302    CG312    CG312     FGA2     9   180.000000     4.853440     1
dihedraltypes	CG302-CG312-CG312-CG312	24	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG302    CG312    CG312    CG312     9     0.000000     5.983120     3
dihedraltypes	FGA2-CG312-CG302-FGA3	23	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	    FGA3    CG302    CG312     FGA2     9     0.000000     1.840960     3
dihedraltypes	CG312-CG312-CG302-FGA3	21	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	    FGA3    CG302    CG312    CG312     9   180.000000     4.853440     1
dihedraltypes	CG312-CG312-CG302-FGA3	22	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	    FGA3    CG302    CG312    CG312     9   180.000000     0.000000     3
dihedraltypes	CG302-CG312-CG312-FGA2	26	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG302    CG312    CG312     FGA2     9   180.000000     0.000000     3
dihedraltypes	CG312-CG312-CG312-FGA2	31	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    CG312    CG312     FGA2     9   180.000000     0.000000     3
dihedraltypes	FGA2-CG312-CG312-SG3O1	33	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   SG3O1    CG312    CG312     FGA2     9   180.000000     0.000000     3
