CC_a	CS_a	CC_b	CS_b	direct_distance_360_120	mirror_distance_360_120	nominal_mirror_duplicate
0	60	150	60	0.4166666666666667	0.4166666666666667	False
0	60	270	0	0.5590169943749475	0.5590169943749475	False
0	60	240	0	0.6009252125773316	0.6009252125773316	False
0	60	120	0	0.6009252125773316	0.6009252125773316	False
150	60	270	0	0.6009252125773316	0.5270462766947299	False
150	60	240	0	0.5590169943749475	0.5068968775248517	False
150	60	120	0	0.5068968775248517	0.5590169943749475	False
270	0	240	0	0.08333333333333333	0.4166666666666667	False
270	0	120	0	0.4166666666666667	0.08333333333333333	False
240	0	120	0	0.3333333333333333	0.0	True
